city,attraction_name,attraction_id,description,attraction_type,address,latitude,longitude,rating,opening_time,closing_time,closing_dates,min_visit_hours,max_visit_hours,ticket_price
厦门,环岛南路,BZ86QA00FP,厦门最美海岸线，椰风海韵的骑行天堂和拍照圣地。,自然风光,,24.431470,118.142622,4.8,全天开放,全天开放,,1.0,2.5,0.0
厦门,黄厝海滩,B0FFGA8JPX,厦门本地人喜爱的天然海滩，沙质细腻，海水清澈，相对安静。,自然风光,,24.442614,118.161900,4.8,全天开放,全天开放,,1.0,2.5,0.0
厦门,椰风寨,B0250043J7,环岛路著名海滨景点，椰林沙滩与现代雕塑相映，是骑行和观海的理想起点。,自然风光,,24.442613,118.161867,4.8,全天开放,全天开放,,1.0,2.5,0.0
厦门,沙坡尾艺术西区,B0FFF6YYVV,厦门新兴文创聚集地，汇集艺术工作室、咖啡馆和潮流店铺。,艺术展览,,24.437609,118.087587,4.7,全天开放,全天开放,,2.0,3.5,0.0
厦门,钟鼓索道,B02500SK4B,厦门空中观光索道，连接万石植物园与钟鼓山，俯瞰城市全景。,自然风光,,24.452775,118.094162,4.7,08:30,17:30,,1.0,2.5,80.0
厦门,曾厝垵,B0FFHOSXLH,原生态渔村改造的文艺街区，小店林立，充满文艺气息。,休闲体验,,24.425286,118.125370,4.5,全天开放,全天开放,,2.0,3.5,0.0
厦门,日光岩,B0250045AI,鼓浪屿最高峰，厦门最佳观景点，可360度俯瞰厦门全景。,自然风光,,24.441998,118.067137,4.7,08:00,18:00,,1.0,2.5,50.0
厦门,集美学村,B0FFF3DPIG,陈嘉庚先生创办的学府群，独特的嘉庚建筑风格，文化底蕴深厚。,历史文化,,24.566280,118.092832,4.8,08:00,18:00,,2.0,3.5,0.0
厦门,观音山梦幻海岸沙滩,B0G25LW00P,现代化海滨度假区，沙滩设施完善，海景开阔壮丽。,自然风光,,24.490845,118.199438,4.4,全天开放,全天开放,,1.5,3.0,0.0
厦门,鼓浪屿钢琴博物馆,B025002ZSJ,全国唯一钢琴专题博物馆，收藏各国古钢琴，音乐之岛象征。,艺术展览,,24.438300,118.069799,4.7,全天开放,全天开放,,0.0,1.5,30.0
厦门,厦门园林博览苑,B0250043S7,汇集国内外园林艺术精华的大型公园，湿地生态丰富。,自然风光,,24.582621,118.073072,4.8,07:30,19:00,,1.5,3.0,0.0
厦门,菽庄花园,B0250043TN,中西合璧的海上花园，内有钢琴博物馆，景色优美。,历史文化,,24.439553,118.068954,4.7,08:00,18:00,,1.5,3.0,30.0
厦门,鳌园,B02500UAQ0,陈嘉庚先生陵园，集纪念、园林、海景于一体的文化景观园。,历史文化,,24.565019,118.107443,4.6,08:00,17:30,,1.0,2.5,0
厦门,龙头路小吃街,B0FFHTZM64,鼓浪屿主要商业街，汇集各种闽南特色小吃和手信店铺。,休闲体验,,24.445423,118.070021,4.8,11:00,20:00,,1.0,2.5,0.0
厦门,白城沙滩,B0FFF0DUAW,厦门最受欢迎的城市沙滩，可观海景、日落，休闲放松。,自然风光,,24.432104,118.102892,4.8,全天开放,全天开放,,2.5,4.0,0
厦门,皓月园,B025003B1C,郑成功雕像所在地，海滨公园风光，民族英雄纪念地。,历史文化,,24.441099,118.075936,4.8,08:00,17:30,,0.5,2.0,10.0
