city,name,address,latitude,longitude,decoration_time,hotel_star,price,score,brand
苏州,桔子昆山开发区前进东路酒店,开发区前进东路986号,31.384270,121.003365,2025,3,355,4.5,桔子
苏州,太仓玛丽蒂姆花园酒店,人民北路11号（近郑和路）,31.454323,121.100810,2009,5,318,4.6,
苏州,苏地亚美致酒店(相城活力岛地铁站店),苏州相城区荣泰街汇萃商业广场4栋T3楼,31.371696,120.604819,2020,3,300,4.5,
苏州,苏州合景万怡酒店,吴中区金枫路264号,31.275670,120.527328,2018,4,515,4.6,万豪
苏州,苏州水云天酒店,胥口镇孙武路899号。,31.230760,120.473290,2023,3,306,4.8,
苏州,张家港华芳新城酒店,塘桥镇南京路18号,31.817596,120.641717,2020,4,301,4.5,
苏州,苏州吴中希尔顿酒店,江苏省苏州市吴中区友翔路99号4号楼,31.185416,120.585003,2022,5,559,4.7,希尔顿
苏州,全季昆山开发区前进东路酒店,昆山前进东路898号帝景天成广场8号楼,31.384354,121.005351,2015,3,326,4.7,全季
苏州,桔子苏州园区奥体中心酒店,工业园区方洲路468号,31.315077,120.755359,2023,3,980,4.8,桔子
苏州,苏州尹山湖希尔顿酒店,中国江苏省苏州市吴中区郭巷街道环湖路1688号,31.245259,120.698247,2022,5,935,4.7,希尔顿
苏州,苏州太湖风景区望亭商业广场亚朵酒店,望亭镇鹤溪路1号,31.416519,120.453376,2020,4,308,4.5,亚朵
苏州,苏州昆山希尔顿花园酒店,江苏省苏州市昆山市鹿城路1398号,31.403129,120.928842,2025,4,466,4.8,希尔顿
苏州,全季苏州观前街干将西路酒店,江苏省苏州市姑苏区干将西路236号,31.305700,120.615000,2017,3,309,4.9,全季
苏州,苏州晶浦酒店（吴江汾湖开发区店）,汾湖高新区芦莘大道1077号,31.036820,120.846352,2015,4,151,3.9,
苏州,锦江之星（太仓陆渡邻里中心店）,陆渡街道金湾路17号陆渡邻里中心S01A、S06商铺,31.469861,121.183540,2024,2,193,4.2,锦江之星
苏州,苏州苏苑饭店,东吴北路130号,31.273664,120.627785,2017,5,525,5.0,
苏州,汉庭酒店(苏州园区奥体中心店),工业园区南榭雨街9号凤凰新天地商业二期41幢103号,31.304300,120.766000,2025,2,373,4.8,汉庭
苏州,张家港美伦精品酒店,杨舍镇城西购物公园（沙洲西路与白桥路交界处）（杨舍镇，近沙洲西路）。,31.869627,120.513160,2019,4,264,4.9,
苏州,锦江之星（苏州石路山塘街店）,苏州姑苏区阊胥路733号,31.311639,120.603258,2024,2,197,4.5,锦江之星
苏州,苏州中惠铂尔曼酒店,江苏省苏州市相城区嘉元路188号,31.373102,120.638261,2019,5,538,4.6,
