restaurant_name,city,latitude,longitude,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,nearby_attraction_coords,query_latitude,query_longitude,rating,tags
忆莼餐厅(南京博物院店),南京,32.039269,118.825427,53.0,餐饮服务;餐饮相关场所;餐饮相关,11:00,21:00,南京博物院,"118.825064,32.040802",32.040802,118.825064,3.9,必吃榜top10
饕香居餐厅·南京维景国际大酒店,南京,32.039919,118.823378,124.0,餐饮服务;餐饮相关场所;餐饮相关,10:30,21:00,南京博物院,"118.825064,32.040802",32.040802,118.825064,4.1,必吃榜top10;生日套餐服务
熊猫餐馆,南京,32.043422,118.824293,29.0,餐饮服务;中餐厅;中餐厅,17:00,20:30,南京博物院,"118.825064,32.040802",32.040802,118.825064,4.3,有包间
真睦空间茶餐厅,南京,32.038720,118.822091,71.0,餐饮服务;快餐厅;快餐厅,09:00,01:00,南京博物院,"118.825064,32.040802",32.040802,118.825064,4.2,必吃榜top10;户外座位
太哼冰室茶餐厅(清溪路店),南京,32.044629,118.822917,100.0,餐饮服务;快餐厅;茶餐厅,11:00,21:00,南京博物院,"118.825064,32.040802",32.040802,118.825064,4.3,有包间
三点红红色餐厅(明故宫路21号小区店),南京,32.043222,118.816105,100.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,南京博物院,"118.825064,32.040802",32.040802,118.825064,3.9,必吃榜top10;有包间
醺·花园餐厅(紫金坊广场店),南京,32.040970,118.834915,189.0,餐饮服务;外国餐厅;西餐厅(综合风味)|体育休闲服务;娱乐场所;酒吧,10:00,21:00,南京博物院,"118.825064,32.040802",32.040802,118.825064,4.6,有等位区;生日套餐服务
同心园宾馆中餐厅,南京,32.032954,118.830965,95.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,南京博物院,"118.825064,32.040802",32.040802,118.825064,4.2,有等位区;线上取号排队
御苑宾馆-中餐厅,南京,32.034991,118.816403,344.0,餐饮服务;中餐厅;中餐厅,17:00,20:30,南京博物院,"118.825064,32.040802",32.040802,118.825064,4.3,必吃榜top10
艺风嘉宴主题餐厅,南京,32.046252,118.814997,100.0,餐饮服务;中餐厅;中餐厅,10:00,22:00,南京博物院,"118.825064,32.040802",32.040802,118.825064,4.6,户外座位;生日套餐服务
很高兴遇见你(德基广场店),南京,32.044322,118.784931,99.0,餐饮服务;休闲餐饮场所;休闲餐饮场所|餐饮服务;中餐厅;中餐厅,10:00,22:00,南京德基广场,"118.784902,32.044077",32.044077,118.784902,3.9,有包间
ROIIN用心(德基广场店),南京,32.044322,118.785086,197.0,餐饮服务;外国餐厅;西餐厅(综合风味),11:00,24:00,南京德基广场,"118.784902,32.044077",32.044077,118.784902,4.5,户外座位
宴遇(德基广场店),南京,32.044163,118.784555,221.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,南京德基广场,"118.784902,32.044077",32.044077,118.784902,4.5,必吃榜top10;生日套餐服务
德合禧狮(德基广场店),南京,32.044494,118.784995,179.0,餐饮服务;中餐厅;中餐厅,11:00,24:00,南京德基广场,"118.784902,32.044077",32.044077,118.784902,4.6,线上取号排队
那时新疆(德基广场店),南京,32.044783,118.784572,128.0,餐饮服务;中餐厅;中餐厅,10:30,21:30,南京德基广场,"118.784902,32.044077",32.044077,118.784902,4.6,必吃榜top10;线上取号排队
翠园餐厅(德基广场二期店),南京,32.044853,118.785127,270.0,餐饮服务;中餐厅;广东菜(粤菜),11:00,22:00,南京德基广场,"118.784902,32.044077",32.044077,118.784902,4.6,生日套餐服务;线上取号排队
管家桥国仕达酒店餐厅,南京,32.044801,118.783555,100.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,南京德基广场,"118.784902,32.044077",32.044077,118.784902,3.2,有包间
中心大酒店·阁敦湾自助餐厅,南京,32.045307,118.783591,168.0,餐饮服务;餐饮相关场所;餐饮相关,17:30,21:00,南京德基广场,"118.784902,32.044077",32.044077,118.784902,4.3,有等位区;生日套餐服务
家·餐厅JIA restaurant(金陵饭店),南京,32.043520,118.782963,356.0,餐饮服务;中餐厅;火锅店,17:30,22:00,南京德基广场,"118.784902,32.044077",32.044077,118.784902,4.1,户外座位
铭海餐厅,南京,32.044825,118.787025,100.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,南京德基广场,"118.784902,32.044077",32.044077,118.784902,3.0,生日套餐服务
晚晴楼美食轩,南京,32.020352,118.789761,100.0,餐饮服务;餐饮相关场所;餐饮相关,17:00,21:00,秦淮河画舫游船,"118.788899,32.020660",32.020660,118.788899,4.1,必吃榜top10;户外座位
正兴餐厅,南京,32.020275,118.790175,100.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,秦淮河画舫游船,"118.788899,32.020660",32.020660,118.788899,2.6,户外座位
老宋记捞汁小海鲜,南京,32.021861,118.789212,100.0,餐饮服务;餐饮相关场所;餐饮相关,11:00,21:00,秦淮河画舫游船,"118.788899,32.020660",32.020660,118.788899,4.3,生日套餐服务;线上取号排队
天圆楼真江南时尚餐厅(夫子庙店),南京,32.019013,118.790272,100.0,餐饮服务;中餐厅;中餐厅,10:00,23:00,秦淮河画舫游船,"118.788899,32.020660",32.020660,118.788899,4.3,必吃榜top10
十壹景观露台餐吧(夫子庙步行街店),南京,32.021395,118.791283,79.0,餐饮服务;外国餐厅;西餐厅(综合风味),11:00,22:30,秦淮河画舫游船,"118.788899,32.020660",32.020660,118.788899,4.3,线上取号排队
天丰楼餐厅,南京,32.020696,118.786196,100.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,秦淮河画舫游船,"118.788899,32.020660",32.020660,118.788899,3.7,生日套餐服务;线上取号排队
永和园酒楼,南京,32.022689,118.787481,100.0,餐饮服务;中餐厅;综合酒楼,16:30,22:00,秦淮河画舫游船,"118.788899,32.020660",32.020660,118.788899,4.3,必吃榜top10;线上取号排队
夜泊秦淮君亭酒店餐厅(大戏院店),南京,32.021996,118.791824,194.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,秦淮河画舫游船,"118.788899,32.020660",32.020660,118.788899,4.2,有包间
永盛利茶餐厅(夫子庙店),南京,32.023204,118.787265,65.0,餐饮服务;快餐厅;茶餐厅,10:00,22:00,秦淮河画舫游船,"118.788899,32.020660",32.020660,118.788899,4.2,必吃榜top10;户外座位
