restaurant_name,city,latitude,longitude,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,nearby_attraction_coords,query_latitude,query_longitude,rating
老王记古城餐馆,成都,30.997217,103.616294,42.0,餐饮服务;中餐厅;中餐厅,17:00,21:00,南桥,"103.615948,30.996316",30.996316,103.615948,3.7
桥头餐馆,成都,30.997252,103.616310,100.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,南桥,"103.615948,30.996316",30.996316,103.615948,3.8
幸福餐厅,成都,30.997876,103.617940,56.0,餐饮服务;中餐厅;中餐厅,09:00,20:30,南桥,"103.615948,30.996316",30.996316,103.615948,4.0
都江堰郡守府餐厅,成都,30.994976,103.621147,102.0,餐饮服务;中餐厅;四川菜(川菜),09:00,22:00,南桥,"103.615948,30.996316",30.996316,103.615948,4.4
春容餐馆(元谋碧桂园店),成都,30.992175,103.620509,100.0,餐饮服务;中餐厅;中餐厅,07:00,22:00,南桥,"103.615948,30.996316",30.996316,103.615948,3.9
豪客来牛排(都江堰宣化门餐厅),成都,30.996065,103.622804,68.0,餐饮服务;外国餐厅;西餐厅(综合风味),10:00,22:00,南桥,"103.615948,30.996316",30.996316,103.615948,4.5
香港冰室港式餐厅(天和盛世店),成都,30.998295,103.622448,39.0,餐饮服务;中餐厅;中餐厅,10:00,20:00,南桥,"103.615948,30.996316",30.996316,103.615948,4.3
清真·八月火餐馆,成都,30.992631,103.621756,100.0,餐饮服务;中餐厅;清真菜馆,10:00,23:00,南桥,"103.615948,30.996316",30.996316,103.615948,4.0
水映天空素餐厅(中国·都江堰·水街·水街店),成都,30.992653,103.622990,33.0,餐饮服务;中餐厅;中餐厅,08:00,21:00,南桥,"103.615948,30.996316",30.996316,103.615948,4.6
火星喵西餐厅(白果巷牌坊店),成都,31.000353,103.623375,68.0,餐饮服务;外国餐厅;外国餐厅,10:00,21:30,南桥,"103.615948,30.996316",30.996316,103.615948,4.7
N度8音乐餐吧,成都,30.654866,104.043991,90.0,餐饮服务;中餐厅;中餐厅,16:00,02:00,蜀风雅韵川剧院,"104.043000,30.654000",30.654000,104.043000,4.3
四川省社科院子衿餐厅,成都,30.653328,104.044438,100.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,蜀风雅韵川剧院,"104.043000,30.654000",30.654000,104.043000,3.6
不二隐庐(百花店),成都,30.655162,104.040142,239.0,餐饮服务;餐饮相关场所;餐饮相关|购物服务;购物相关场所;购物相关场所,10:00,21:00,蜀风雅韵川剧院,"104.043000,30.654000",30.654000,104.043000,4.6
千禧大酒店餐厅,成都,30.651466,104.041438,137.0,餐饮服务;餐饮相关场所;餐饮相关,07:00,21:30,蜀风雅韵川剧院,"104.043000,30.654000",30.654000,104.043000,4.2
华利餐厅(锦里西路店),成都,30.655864,104.046463,48.0,餐饮服务;中餐厅;中餐厅,17:00,21:00,蜀风雅韵川剧院,"104.043000,30.654000",30.654000,104.043000,4.4
派瑞酒店餐厅,成都,30.658691,104.040627,100.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,蜀风雅韵川剧院,"104.043000,30.654000",30.654000,104.043000,4.1
琴台廊桥,成都,30.659293,104.045525,100.0,餐饮服务;中餐厅;四川菜(川菜),11:00,22:00,蜀风雅韵川剧院,"104.043000,30.654000",30.654000,104.043000,4.4
加德满都餐厅,成都,30.658406,104.036686,100.0,餐饮服务;外国餐厅;外国餐厅,11:00,21:00,蜀风雅韵川剧院,"104.043000,30.654000",30.654000,104.043000,3.9
品味四季花园餐厅(琴台故径店),成都,30.660869,104.046495,84.0,餐饮服务;中餐厅;四川菜(川菜),17:00,21:00,蜀风雅韵川剧院,"104.043000,30.654000",30.654000,104.043000,4.2
琴台·当垆私房菜餐厅,成都,30.662962,104.045269,138.0,餐饮服务;中餐厅;中餐厅,11:30,20:30,青羊宫,"104.042609,30.661542",30.661542,104.042609,4.6
川行隐里酒店(成都宽窄巷子店)·花园餐厅,成都,30.664007,104.045280,100.0,餐饮服务;餐饮相关场所;餐饮相关,11:00,21:00,青羊宫,"104.042609,30.661542",30.661542,104.042609,3.7
花筑·成都琴台美宿宽窄巷子店·餐厅,成都,30.662080,104.046638,100.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,青羊宫,"104.042609,30.661542",30.661542,104.042609,4.0
老夏老火锅(西安南路总店),成都,30.664966,104.046621,65.0,餐饮服务;中餐厅;火锅店,11:00,21:00,青羊宫,"104.042609,30.661542",30.661542,104.042609,4.4
希尔顿花园酒店·餐厅,成都,30.665239,104.046543,100.0,餐饮服务;外国餐厅;西餐厅(综合风味),11:00,21:00,青羊宫,"104.042609,30.661542",30.661542,104.042609,3.7
蔬心缘五色牛肉火锅(枣欣苑店),成都,30.666394,104.046781,78.0,餐饮服务;中餐厅;火锅店,10:30,21:30,青羊宫,"104.042609,30.661542",30.661542,104.042609,4.5
上野樱花日式精致料理(金阳路店),成都,30.677229,104.010887,81.0,购物服务;家居建材市场;厨卫市场,11:00,21:00,金沙遗址博物馆,"104.012634,30.681709",30.681709,104.012634,4.6
御膳宫药膳餐厅,成都,30.677223,104.009786,116.0,餐饮服务;中餐厅;中餐厅,09:30,21:30,金沙遗址博物馆,"104.012634,30.681709",30.681709,104.012634,3.8
罗一手奶汤面(总店),成都,30.677073,104.010115,25.0,餐饮服务;中餐厅;中餐厅,08:00,05:00,金沙遗址博物馆,"104.012634,30.681709",30.681709,104.012634,4.3
