city,attraction_name,attraction_id,description,attraction_type,address,latitude,longitude,rating,opening_time,closing_time,closing_dates,min_visit_hours,max_visit_hours,ticket_price
杭州,中国茶叶博物馆（龙井馆区）,B023B09JN4,茶文化专题博物馆，展示中国茶叶历史文化，位于龙井茶原产地。,历史文化,,30.219662,120.113539,4.6,09:00,16:30,周一,1.0,2.5,0.0
杭州,断桥残雪,B023B01EE6,西湖十景之一，白娘子与许仙相遇的传说地，是西湖北线的起点。,历史文化,,30.258106,120.151299,4.8,全天开放,全天开放,,0.0,1.5,0.0
杭州,南宋御街中山路步行街,B023B14PP8,南宋皇城遗址上的现代步行街，融合历史文化与现代商业。,历史文化,,30.240249,120.169526,4.7,全天开放,全天开放,,0.5,2.0,0.0
杭州,孤山公园,B0FFKQNUS4,西湖中最大岛屿，历史文化景点集中，环境清幽。,历史文化,,30.251654,120.142481,4.9,全天开放,全天开放,,1.0,2.5,0.0
杭州,三潭印月,B023B0283D,西湖十景之一，位于小瀛洲岛上，以三座石塔倒影如月而得名。,历史文化,,30.238845,120.145369,4.8,08:00,17:00,,2.0,3.5,70.0
杭州,雷峰塔景区,B023B09LKR,重建的千年古塔，登塔可俯瞰西湖全景，与《白蛇传》传说密切相关。,历史文化,,30.230934,120.148849,4.8,08:00,20:00,,0.5,2.0,40.0
杭州,九溪烟树,B0FFHMH4J8,西湖新十景之一，九条溪流汇集，秋季景色尤为迷人。,自然风光,,30.202395,120.113350,4.8,全天开放,全天开放,,1.5,3.0,0.0
杭州,平湖秋月观景点,B023B024F8,西湖十景之一，赏月观湖胜地，景色宁静优美。,自然风光,,30.252038,120.146210,4.7,全天开放,全天开放,,1.0,2.5,0.0
杭州,中国美术学院象山校区,B023B1A0E1,著名艺术院校，建筑设计独特，适合艺术爱好者参观。,艺术展览,,30.155446,120.076690,3.7,全天开放,全天开放,,1.5,3.0,0.0
杭州,小河历史文化街区,B0FFFWQ8DS,保存完好的历史街区，典型的江南水乡建筑，生活气息浓厚。,历史文化,,30.308302,120.135337,4.7,全天开放,全天开放,,1.5,3.0,0.0
杭州,清河坊步行街,B023B1E89A,杭州最具代表性的历史文化街区，保留明清建筑风格，各类特色小店云集。,历史文化,,30.240073,120.168923,4.7,全天开放,全天开放,,2.0,3.5,0.0
杭州,灵隐寺,B023B02842,中国著名佛教古刹，距今约1700年历史，香火鼎盛，建筑宏伟。,历史文化,,30.240826,120.101406,4.9,06:30,18:15,,2.5,4.0,75
杭州,杭州湖滨银泰in77A区,B023B08RT2,杭州知名购物中心，位于西湖边，品牌齐全，交通便利。,休闲体验,,30.253160,120.162484,4.8,10:00,22:00,,1.0,2.5,0
杭州,龙井村,,中国十大名茶龙井茶的原产地，可体验茶文化，品尝正宗龙井茶。,自然风光,,30.219700,120.113500,4.6,全天开放,全天开放,,2.0,3.5,0
杭州,苏堤春晓,B023B02070,西湖十景之首，苏东坡主持修建的湖堤，春季杨柳依依最为著名。,历史文化,,30.243880,120.137960,4.8,全天开放,全天开放,,0.5,2.0,0
杭州,浙江省博物馆(孤山馆区),B023B06XVX,浙江省内最重要的综合性博物馆，收藏丰富的历史文物和艺术珍品，位于风景秀丽的孤山。,历史文化,,30.251243,120.143778,4.5,09:00,17:00,周一,1.0,2.5,0
杭州,西泠印社,B023B09LU0,中国著名金石篆刻社团，百年历史文化机构。,历史文化,,30.250279,120.139948,4.9,08:30,16:30,,0.5,2.0,0
杭州,花港观鱼,B023B023B2,西湖十景之一，以观赏红鲤鱼著称的园林景区，春季花开时尤为美丽。,自然风光,,30.230233,120.139095,4.8,全天开放,全天开放,,0.5,2.0,0
