poi_name,latitude,longitude,address,poi_type
美龄宫,32.045458,118.846557,,attraction
灵谷景区,32.056287,118.866392,,attraction
南京1912街区,32.044777,118.795778,,attraction
秦淮河画舫游船,32.020660,118.788899,,attraction
狮子桥步行街,32.067825,118.777783,,attraction
南京眼步行桥,31.995131,118.703146,,attraction
中国科学院紫金山天文台,32.064698,118.830719,,attraction
阅江楼景区,32.094477,118.748018,,attraction
南京静海寺纪念馆,32.092359,118.744723,,attraction
中华门城堡,32.012800,118.781821,,attraction
美庐餐厅(四方城店),32.049053,118.850510,,restaurant
南京东郊国宾馆·稻香村零点餐厅,32.058352,118.847527,,restaurant
晶丽海鲜自助餐厅,32.058378,118.847167,,restaurant
麦穗咖啡馆(餐厅),32.053088,118.840329,,restaurant
益生园餐厅,32.041985,118.849227,,restaurant
宽渡酒店(宽渡·翡翠花园餐厅),32.043804,118.840376,,restaurant
古相机·花园餐厅,32.042471,118.841831,,restaurant
前线大院芳华文化主题餐厅,32.042886,118.840991,,restaurant
长颈鹿茶餐厅(君临紫金商业街店),32.037885,118.850974,,restaurant
金杏仁餐厅,32.037985,118.850289,,restaurant
南京泊金花间堂·琵琶山居酒店·花间食餐厅,32.053020,118.826593,,restaurant
宽渡·琵琶湖餐厅,32.052922,118.826357,,restaurant
谧径爱丽丝花园餐厅 MJ secret wonderland,32.038346,118.840115,,restaurant
西来顺(小卫街总店),32.036269,118.853232,,restaurant
百柳苑餐厅,32.041811,118.878425,,restaurant
南京大牌档(1912总统府店),32.045050,118.795997,,restaurant
Fine Recipe悦食谱·创意西餐(总统府1912店),32.044738,118.795705,,restaurant
烤隐·鲜货烧烤社交酒场(大行宫1912店),32.044619,118.795650,,restaurant
朱雀桥·南京鸭文化主题餐厅,32.045993,118.796627,,restaurant
梅花颂·金陵小馆(总统府1912店),32.045954,118.796309,,restaurant
新疆美食烧烤餐厅(太平北路店),32.045158,118.795034,,restaurant
拉妮娜西班牙餐厅(碑亭巷店),32.045045,118.794465,,restaurant
山姆墨西哥餐厅(南京D9街区店),32.045751,118.794110,,restaurant
No Worries澳式餐吧(石婆婆庵店),32.045509,118.792470,,restaurant
汉府饭店中餐厅,32.044040,118.792340,,restaurant
晚晴楼美食轩,32.020352,118.789761,,restaurant
正兴餐厅,32.020275,118.790175,,restaurant
老宋记捞汁小海鲜,32.021861,118.789212,,restaurant
天圆楼真江南时尚餐厅(夫子庙店),32.019013,118.790272,,restaurant
十壹景观露台餐吧(夫子庙步行街店),32.021395,118.791283,,restaurant
天丰楼餐厅,32.020696,118.786196,,restaurant
永和园酒楼,32.022689,118.787481,,restaurant
夜泊秦淮君亭酒店餐厅(大戏院店),32.021996,118.791824,,restaurant
永盛利茶餐厅(夫子庙店),32.023204,118.787265,,restaurant
贝拉厨房牛排不限量餐厅(茂业天地店),32.022530,118.786194,,restaurant
朗昇希尔顿酒店·粤扬中餐厅,32.031013,118.738209,,restaurant
克茗冰室(建邺万达店),32.032169,118.736831,,restaurant
南京朗昇希尔顿酒店汇全日制西餐厅,32.030694,118.738053,,restaurant
名轩中餐厅,32.066370,118.815739,,restaurant
江南院餐厅(板仓街店),32.067685,118.817973,,restaurant
问柳菜馆(老门东店),32.011515,118.787387,,restaurant
蒋有记(老门东店),32.011774,118.786821,,restaurant
