city,name,address,latitude,longitude,decoration_time,hotel_star,price,score,brand,services
南京,南京玄武湖玄武门亚朵酒店,中央路266号（地铁一号线新模范马路站2号出口）,32.081227,118.785351,2020,4,428,4.6,亚朵,健身房;洗衣机和烘干机
南京,桔子南京夫子庙老门东酒店,秦淮区夫子庙长乐路74-76号（夫子庙探花楼左侧20米）,32.017272,118.786548,2024,3,369,4.9,桔子,免费停车;泳池;洗衣机和烘干机
南京,南京集萃金陵嘉珑酒店,顶山街道华富路7号江苏省产业技术研究院园区8号楼,32.030503,118.644410,2023,5,488,4.8,,泳池;洗衣机和烘干机;电视可投屏
南京,全季南京江宁东麒路酒店,江苏省南京市江宁区润麒南路1号,31.978664,118.880017,2019,3,305,4.6,全季,健身房;电视可投屏
南京,全季南京明故宫酒店,御道街12号,32.037193,118.816677,2017,3,341,4.8,全季,SPA服务;免费停车
南京,如家·neo-南京新街口中心店,秦淮区淮海路36号,32.037604,118.785660,2020,2,299,4.7,如家,SPA服务;泳池
南京,汉庭南京夫子庙步行街酒店,秦淮区大石坝街146号,32.018343,118.788350,2020,2,252,4.8,汉庭,SPA服务;机器人送餐服务;泳池;电视可投屏
南京,汉庭南京新街口张府园地铁站酒店,秦淮区建邺路76号（张府园地铁口地铁1号线张府园地铁站3号口右转150米）,32.030400,118.782000,2025,2,288,4.7,汉庭,SPA服务;电视可投屏
南京,如家·neo-南京五塘广场地铁站店,南京市鼓楼区幕府东路9号,32.111498,118.779311,2017,2,346,4.5,如家,SPA服务;洗衣机和烘干机
南京,南京江宁 Moxy 酒店,天元东路15号（近地铁1号线竹山路2号出口，5号线竹山路5号出口）,31.933570,118.846694,2021,4,331,4.7,,健身房;电视可投屏
南京,如家·neo-南京新街口大行宫地铁站文昌巷店,南京市秦淮区太平南路147-1,32.037122,118.793920,2018,2,342,4.8,如家,SPA服务;洗衣机和烘干机;电视可投屏
南京,锦江之星（南京火车站玄武湖钟阜路地铁站酒店）,建宁路16号,32.091374,118.775473,2012,2,147,4.4,锦江之星,健身房;机器人送餐服务;泳池;电视可投屏
南京,麗枫酒店(南京卡子门地铁站老门东店),永乐路111号万象都荟商业广场B座5楼 ，近永乐路，3号地铁卡门站,31.998648,118.797124,2025,3,248,4.6,,机器人送餐服务;泳池;洗衣机和烘干机;电视可投屏
南京,汉庭南京葛塘地铁站酒店,江北新区宁六路400号,32.243900,118.754000,2019,2,184,4.9,汉庭,SPA服务;健身房;泳池;洗衣机和烘干机
南京,桔子南京江宁砂之船未来网络小镇酒店,江苏省南京市江宁区苏源大道117号,31.842300,118.826000,2020,3,293,4.8,桔子,免费停车;机器人送餐服务;电视可投屏
南京,如家-南京安德门地铁站雨花台风景区店,南京雨花台区安德门小行路52号1幢,31.989178,118.754999,2018,2,203,4.3,如家,健身房;免费停车;机器人送餐服务;泳池
南京,南京谷里大酒店,谷里街道牛首大道1号。,31.880630,118.709714,2013,4,192,4.7,,免费停车;泳池
南京,南京景枫万豪酒店,双龙大道1519号,31.936237,118.821917,2018,5,866,4.7,万豪,泳池;洗衣机和烘干机
南京,康铂酒店（南京南站店）,江苏省南京市江宁区竹翠路7号都荟天地城D-1幢116室,31.963761,118.796812,2023,3,292,4.7,,SPA服务;健身房;泳池;洗衣机和烘干机
南京,南京白金汉爵大酒店(玄武大道店),栖霞区玄武大道888号,32.103049,118.891212,2020,4,310,4.7,,SPA服务;泳池
