city,attraction_name,attraction_id,description,attraction_type,address,latitude,longitude,rating,opening_time,closing_time,closing_dates,min_visit_hours,max_visit_hours,ticket_price
杭州,杭州湖滨银泰in77A区,B023B08RT2,杭州知名购物中心，位于西湖边，品牌齐全，交通便利。,休闲体验,,30.253160,120.162484,4.8,10:00,22:00,,1.0,2.5,0.0
杭州,苏堤春晓,B023B02070,西湖十景之首，苏东坡主持修建的湖堤，春季杨柳依依最为著名。,历史文化,,30.243880,120.137960,4.8,全天开放,全天开放,,0.5,2.0,0.0
杭州,西湖音乐喷泉,,位于湖滨三公园的大型音乐喷泉，夜晚配合音乐表演极为壮观。,休闲体验,,30.254900,120.154700,4.7,19:30,19:45,,0.0,1.5,0.0
杭州,西溪国家湿地公园,B023B06P06,中国首个国家湿地公园，生态环境优美，《非诚勿扰》取景地。,自然风光,,30.255079,120.061159,4.7,07:30,18:30,,2.5,4.0,80.0
杭州,南宋御街,B0IA368WAJ,杭州历史文化步行街，保留南宋时期街巷格局，适合漫步。,历史文化,,30.242479,120.170779,4.5,全天开放,全天开放,,1.0,2.5,0.0
杭州,中国刀剪剑博物馆,B023B09XH9,展示中国刀剪剑制作工艺的专题博物馆，了解杭州传统手工艺文化。,历史文化,,30.316137,120.137682,4.7,全天开放,全天开放,,1.0,2.5,0.0
杭州,三潭印月,B023B0283D,西湖十景之一，位于小瀛洲岛上，以三座石塔倒影如月而得名。,历史文化,,30.238845,120.145369,4.8,08:00,17:00,,2.0,3.5,70.0
杭州,清河坊步行街,B023B1E89A,杭州最具代表性的历史文化街区，保留明清建筑风格，各类特色小店云集。,历史文化,,30.240073,120.168923,4.7,全天开放,全天开放,,2.0,3.5,0.0
杭州,中国美术学院象山校区,B023B1A0E1,著名艺术院校，建筑设计独特，适合艺术爱好者参观。,艺术展览,,30.155446,120.076690,3.7,全天开放,全天开放,,1.5,3.0,0.0
杭州,小河历史文化街区,B0FFFWQ8DS,保存完好的历史街区，典型的江南水乡建筑，生活气息浓厚。,历史文化,,30.308302,120.135337,4.7,全天开放,全天开放,,1.5,3.0,0.0
杭州,断桥残雪,B023B01EE6,西湖十景之一，白娘子与许仙相遇的传说地，是西湖北线的起点。,历史文化,,30.258106,120.151299,4.8,全天开放,全天开放,,0.0,1.5,0.0
杭州,南宋御街中山路步行街,B023B14PP8,南宋皇城遗址上的现代步行街，融合历史文化与现代商业。,历史文化,,30.240249,120.169526,4.7,全天开放,全天开放,,0.5,2.0,0.0
杭州,浙江自然博物院,B023B15DKJ,华东地区重要自然科学博物馆，展品丰富。,历史文化,,30.276814,120.164581,4.8,09:00,17:00,周一,1.5,3.0,0.0
杭州,杭州工艺美术博物馆,B023B0I02U,展示杭州传统手工艺和现代工艺美术作品，包含丝绸、刺绣、雕刻等多种工艺门类。,历史文化,,30.315645,120.136930,4.7,09:00,16:30,周二,1.0,2.5,0.0
杭州,飞来峰,B023B05MJE,灵隐寺前奇峰，有丰富的石刻造像，地质景观独特。,历史文化,,30.239119,120.101101,4.8,06:30,18:00,,0.5,2.0,45.0
杭州,雷峰塔景区,B023B09LKR,重建的千年古塔，登塔可俯瞰西湖全景，与《白蛇传》传说密切相关。,历史文化,,30.230934,120.148849,4.8,08:00,20:00,,0.5,2.0,40.0
杭州,灵隐寺,B023B02842,中国著名佛教古刹，距今约1700年历史，香火鼎盛，建筑宏伟。,历史文化,,30.240826,120.101406,4.9,06:30,18:15,,2.5,4.0,75.0
