origin_city,destination_city,dep_date,dep_station_code,dep_station_name,arr_station_code,arr_station_name,dep_datetime,arr_datetime,duration,flight_no,airline,seat_class,seat_status,equip_type,equip_size,manufacturer,price,segment_index,route_index
长沙,广州,2025-11-12,CSX,黄花机场,CAN,白云国际机场,2025-11-12 18:10:00,2025-11-12 19:55:00,105,MF4773,厦航,经济舱,充足,320,中型机,空客,602,1,170
长沙,广州,2025-11-12,CSX,黄花机场,CAN,白云国际机场,2025-11-12 18:10:00,2025-11-12 19:55:00,105,CZ5591,南航,经济舱,充足,320,中型机,空客,300,1,167
长沙,广州,2025-11-12,CSX,黄花机场,CAN,白云国际机场,2025-11-12 12:10:00,2025-11-12 13:40:00,90,MF4228,厦航,经济舱,充足,C919,中型机,商飞,722,1,171
长沙,广州,2025-11-12,CSX,黄花机场,CAN,白云国际机场,2025-11-12 12:10:00,2025-11-12 13:40:00,90,CZ3379,南航,经济舱,充足,C919,中型机,商飞,340,1,168
长沙,广州,2025-11-12,CSX,黄花机场,CAN,白云国际机场,2025-11-12 08:05:00,2025-11-12 09:50:00,105,CZ3387,南航,经济舱,充足,C919,中型机,商飞,300,1,166
长沙,广州,2025-11-12,CSX,黄花机场,SWA,潮汕机场,2025-11-12 17:05:00,2025-11-12 18:35:00,90,BK3133,奥凯,经济舱,充足,737,中型机,波音,780,1,173
长沙,广州,2025-11-12,SWA,潮汕机场,CAN,白云国际机场,2025-11-12 21:20:00,2025-11-12 22:35:00,75,CZ3891,南航,经济舱,充足,C909,中型机,空客,780,2,173
长沙,广州,2025-11-12,CSX,黄花机场,CAN,白云国际机场,2025-11-12 08:05:00,2025-11-12 09:50:00,105,MF4234,厦航,经济舱,充足,C919,中型机,商飞,483,1,169
广州,长沙,2025-11-16,CAN,白云国际机场,CSX,黄花机场,2025-11-16 14:50:00,2025-11-16 16:25:00,95,MF4235,厦航,经济舱,充足,C919,中型机,商飞,662,1,181
广州,长沙,2025-11-16,CAN,白云国际机场,FOC,长乐国际机场,2025-11-16 18:15:00,2025-11-16 19:50:00,95,MF8326,厦航,经济舱,充足,737,中型机,波音,1657,1,184
广州,长沙,2025-11-16,FOC,长乐国际机场,CSX,黄花机场,2025-11-16 21:40:00,2025-11-16 23:20:00,100,MF8627,厦航,经济舱,充足,737,中型机,波音,1657,2,184
广州,长沙,2025-11-16,CAN,白云国际机场,CSX,黄花机场,2025-11-16 21:00:00,2025-11-16 22:35:00,95,CZ6043,南航,经济舱,充足,787,大型机,波音,600,1,178
广州,长沙,2025-11-16,CAN,白云国际机场,CSX,黄花机场,2025-11-16 21:00:00,2025-11-16 22:35:00,95,MF4885,厦航,经济舱,充足,787,大型机,波音,602,1,179
广州,长沙,2025-11-16,CAN,白云国际机场,CSX,黄花机场,2025-11-16 14:50:00,2025-11-16 16:25:00,95,CZ3388,南航,经济舱,充足,C919,中型机,商飞,660,1,180
广州,长沙,2025-11-16,CAN,白云国际机场,KMG,长水机场,2025-11-16 07:50:00,2025-11-16 10:25:00,155,HU7207,海航｜海南航空,经济舱,充足,320NEO,中型机,空客,498,1,182
广州,长沙,2025-11-16,KMG,长水机场,CSX,黄花机场,2025-11-16 16:30:00,2025-11-16 18:30:00,120,HU7642,海航｜海南航空,经济舱,充足,737,中型机,波音,498,2,182
