city,name,address,latitude,longitude,decoration_time,hotel_star,price,score,brand
厦门,厦门海沧正元希尔顿逸林酒店,厦门 海沧区 滨湖一里208号 ，近阿罗海城市广场。,24.475505,118.032431,2017,5,498,4.7,希尔顿
厦门,全季厦门中山路植物园酒店,思明区,24.461239,118.090552,2025,3,395,5.0,全季
厦门,如家-厦门中山路步行街中山公园地铁站店,公园南路81号 ，中山公园南门。,24.456117,118.085806,2020,2,215,4.8,如家
厦门,全季厦门中山路银行中心酒店,厦门思明区湖滨西路15号,24.462400,118.078000,2019,3,311,4.8,全季
厦门,汉庭厦门万象城酒店,厦门市思明区禾祥东路23号,24.470893,118.109590,2019,2,197,4.7,汉庭
厦门,厦门YuHai屿海酒店(曾厝垵厦门大学店）,厦门市思明区曾厝垵社98-1号,24.427247,118.124523,2019,3,4170,4.9,
厦门,全季厦门软件园二期会展路酒店,会展路458号(何厝地铁站1号口步行440米),24.486063,118.188591,2021,3,326,4.8,全季
厦门,锦江之星厦门翔安马巷酒店,马巷镇池王宫路2000号,24.669810,118.249840,2018,2,161,4.4,锦江之星
厦门,厦门爱丁堡国际酒店,莲前西路西林西路56号,24.477057,118.140637,2018,4,185,4.5,
厦门,安曼酒店(同安店),"厦门同安区吕厝一里1号, 中国",24.659410,118.162028,2021,4,230,4.5,
厦门,厦门白鹭洲公园希尔顿花园酒店,思明区湖滨中路160号,24.483017,118.094896,2019,4,391,4.6,希尔顿
厦门,锦江之星厦门火车站万象城酒店,凤屿路16号。,24.472551,118.116948,2020,2,129,4.0,锦江之星
厦门,厦门湖滨南路希尔顿欢朋酒店,中国厦门市思明区湖滨一里26号,24.472884,118.103371,2022,5,602,4.7,希尔顿
厦门,夏商怡翔假日酒店(厦门火车站地铁站万象城店),坂尾路12号（紧邻动车站/地铁口，近高崎机场/中山路/厦门大学）,24.473090,118.120869,2021,4,215,4.8,
厦门,厦门五缘湾万达广场亚朵酒店,福建省厦门市湖里区东黄路219号,24.509010,118.182649,2021,4,376,4.5,亚朵
厦门,厦门万佳东方酒店(中山路植物园店),思明区开元街道虎园路1号，万石植物园旁边,24.453811,118.092355,2018,3,173,4.8,
厦门,厦门X未来酒店（环岛路曾厝垵店）,曾厝垵北路158号,24.428037,118.123389,2019,5,457,4.6,
厦门,汉庭厦门文灶万象城酒店,厦门市思明区厦禾路859号,24.466975,118.106846,2022,2,211,4.7,汉庭
厦门,厦门华尔道夫酒店,中国福建省厦门市思明区莲花北路1号,24.484607,118.127981,2020,5,1749,4.7,
厦门,维也纳国际酒店(厦门鼓浪屿第一码头海景店),鹭江道259号,24.462792,118.072896,2019,4,304,4.5,
