origin_city,destination_city,dep_date,dep_station_code,dep_station_name,arr_station_code,arr_station_name,dep_datetime,arr_datetime,duration,train_no,train_type,seat_class,seat_status,price,segment_index,route_index
昆明,郑州,2025-11-12,KOM,昆明南站,ZAF,郑州东站,2025-11-12 10:32:00,2025-11-12 20:39:00,607,G402,高铁,二等座,充足,892.0,1,10
昆明,郑州,2025-11-12,KOM,昆明南站,ZAF,郑州东站,2025-11-12 08:55:00,2025-11-12 17:13:00,498,G76,高铁,二等座,充足,989.5,1,13
昆明,郑州,2025-11-12,ZAF,郑州东站,XPF,郑州西站,2025-11-12 17:28:00,2025-11-12 17:44:00,16,G3417,高铁,二等座,充足,989.5,2,13
昆明,郑州,2025-11-12,KOM,昆明南站,ZAF,郑州东站,2025-11-12 11:18:00,2025-11-12 21:52:00,634,G1536,高铁,一等座,充足,1357.5,1,11
昆明,郑州,2025-11-12,ZAF,郑州东站,ZZF,郑州站,2025-11-12 22:26:00,2025-11-12 22:42:00,16,D7863,动车,二等座,充足,857.5,2,11
昆明,郑州,2025-11-12,KOM,昆明南站,ZAF,郑州东站,2025-11-12 08:17:00,2025-11-12 18:49:00,632,G1538,高铁,二等座,充足,892.0,1,9
昆明,郑州,2025-11-12,KOM,昆明南站,ZAF,郑州东站,2025-11-12 11:18:00,2025-11-12 21:52:00,634,G1536,高铁,一等座,充足,1357.5,1,7
昆明,郑州,2025-11-12,KMM,昆明站,KQW,贵阳北站,2025-11-12 09:32:00,2025-11-12 12:17:00,165,G2846,高铁,二等座,充足,895.5,1,17
昆明,郑州,2025-11-12,KQW,贵阳北站,ZAF,郑州东站,2025-11-12 12:55:00,2025-11-12 21:22:00,507,G3474,高铁,二等座,充足,895.5,2,17
昆明,郑州,2025-11-12,KOM,昆明南站,ZAF,郑州东站,2025-11-12 10:05:00,2025-11-12 21:22:00,677,G3474,高铁,二等座,充足,891.0,1,15
昆明,郑州,2025-11-12,KOM,昆明南站,ZAF,郑州东站,2025-11-12 10:32:00,2025-11-12 20:39:00,607,G402,高铁,二等座,充足,900.5,1,16
昆明,郑州,2025-11-12,ZAF,郑州东站,ZZF,郑州站,2025-11-12 21:26:00,2025-11-12 21:42:00,16,G1587,高铁,二等座,充足,900.5,2,16
昆明,郑州,2025-11-12,KOM,昆明南站,KQW,贵阳北站,2025-11-12 08:29:00,2025-11-12 11:09:00,160,G2924,高铁,二等座,充足,1000.0,1,14
昆明,郑州,2025-11-12,KQW,贵阳北站,ZAF,郑州东站,2025-11-12 11:25:00,2025-11-12 17:13:00,348,G76,高铁,二等座,充足,1000.0,2,14
昆明,郑州,2025-11-12,KOM,昆明南站,ZAF,郑州东站,2025-11-12 08:55:00,2025-11-12 17:13:00,498,G76,高铁,二等座,充足,970.0,1,8
郑州,昆明,2025-11-15,ZZF,郑州站,ZAF,郑州东站,2025-11-15 08:26:00,2025-11-15 08:43:00,17,G370,高铁,二等座,充足,978.5,1,37
郑州,昆明,2025-11-15,ZAF,郑州东站,KOM,昆明南站,2025-11-15 09:31:00,2025-11-15 17:56:00,505,G75,高铁,二等座,充足,978.5,2,37
郑州,昆明,2025-11-15,ZAF,郑州东站,CWQ,长沙南站,2025-11-15 12:33:00,2025-11-15 16:11:00,218,G501,高铁,二等座,充足,892.0,1,34
郑州,昆明,2025-11-15,CWQ,长沙南站,KOM,昆明南站,2025-11-15 16:45:00,2025-11-15 23:09:00,384,G401,高铁,二等座,充足,892.0,2,34
郑州,昆明,2025-11-15,ZAF,郑州东站,ZLN,驻马店西站,2025-11-15 08:57:00,2025-11-15 09:53:00,56,G3219,高铁,二等座,充足,952.0,1,30
郑州,昆明,2025-11-15,ZLN,驻马店西站,KOM,昆明南站,2025-11-15 10:16:00,2025-11-15 17:56:00,460,G75,高铁,二等座,充足,952.0,2,30
郑州,昆明,2025-11-15,ZAF,郑州东站,KQW,贵阳北站,2025-11-15 09:31:00,2025-11-15 15:24:00,353,G75,高铁,二等座,充足,1004.5,1,38
郑州,昆明,2025-11-15,KQW,贵阳北站,KMM,昆明站,2025-11-15 15:40:00,2025-11-15 18:26:00,166,G2849,高铁,二等座,充足,1004.5,2,38
郑州,昆明,2025-11-15,ZAF,郑州东站,KOM,昆明南站,2025-11-15 10:43:00,2025-11-15 22:04:00,681,G3473,高铁,二等座,充足,891.0,1,36
郑州,昆明,2025-11-15,ZAF,郑州东站,KOM,昆明南站,2025-11-15 12:52:00,2025-11-15 23:09:00,617,G401,高铁,二等座,充足,892.0,1,33
郑州,昆明,2025-11-15,ZAF,郑州东站,KOM,昆明南站,2025-11-15 08:33:00,2025-11-15 19:20:00,647,G1535,高铁,一等座,充足,1392.0,1,31
郑州,昆明,2025-11-15,ZAF,郑州东站,CWQ,长沙南站,2025-11-15 10:15:00,2025-11-15 13:14:00,179,G795,高铁,二等座,充足,892.0,1,28
郑州,昆明,2025-11-15,CWQ,长沙南站,KOM,昆明南站,2025-11-15 13:37:00,2025-11-15 20:01:00,384,G1541,高铁,二等座,充足,892.0,2,28
郑州,昆明,2025-11-15,ZAF,郑州东站,KOM,昆明南站,2025-11-15 09:31:00,2025-11-15 17:56:00,505,G75,高铁,二等座,充足,970.0,1,32
郑州,昆明,2025-11-15,ZAF,郑州东站,KOM,昆明南站,2025-11-15 10:36:00,2025-11-15 20:30:00,594,G1537,高铁,二等座,充足,892.0,1,29
