restaurant_name,city,latitude,longitude,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,nearby_attraction_coords,query_latitude,query_longitude,rating,tags
张掌柜鹅堡,郑州,34.870717,113.670712,50.0,餐饮服务;快餐厅;快餐厅,09:30,23:00,黄河博物馆,"113.677764,34.871840",34.871840,113.677764,4.4,户外座位;有等位区
大塘餐厅虾饺专门店(迎宾路店),郑州,34.871556,113.665047,90.0,餐饮服务;中餐厅;特色/地方风味餐厅,17:00,21:30,黄河博物馆,"113.677764,34.871840",34.871840,113.677764,4.5,生日套餐服务
郑州天地丽笙酒店-品自助餐厅,郑州,34.859568,113.678526,208.0,餐饮服务;餐饮相关场所;餐饮相关,11:00,22:00,黄河博物馆,"113.677764,34.871840",34.871840,113.677764,4.1,必吃榜top10;户外座位
郑州师范学院东区静馨园餐厅,郑州,34.863435,113.659282,100.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,黄河博物馆,"113.677764,34.871840",34.871840,113.677764,4.2,有等位区;生日套餐服务
信阳融合餐厅,郑州,34.889033,113.574616,32.0,餐饮服务;中餐厅;中餐厅,11:00,22:00,惠济桥遗址公园,"113.585469,34.892354",34.892354,113.585469,3.8,线上取号排队
便民餐馆,郑州,34.886025,113.569690,100.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,惠济桥遗址公园,"113.585469,34.892354",34.892354,113.585469,2.2,有等位区
肯德基车速取餐厅(江山路DT店),郑州,34.880231,113.572945,100.0,餐饮服务;餐饮相关场所;餐饮相关,11:00,21:00,惠济桥遗址公园,"113.585469,34.892354",34.892354,113.585469,3.7,必吃榜top10;户外座位
河南大学附属郑州第一人民医院·营养餐厅,郑州,34.750370,113.685219,100.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,城隍庙,"113.686977,34.752061",34.752061,113.686977,3.7,户外座位
河南省中医药研究院附属医院餐厅,郑州,34.755083,113.685722,100.0,餐饮服务;中餐厅;中餐厅,17:00,19:30,城隍庙,"113.686977,34.752061",34.752061,113.686977,3.8,有等位区;生日套餐服务
老吴喵馆·猫咖餐厅(新世界百货店),郑州,34.752925,113.682675,28.0,餐饮服务;餐饮相关场所;餐饮相关,09:30,21:30,城隍庙,"113.686977,34.752061",34.752061,113.686977,4.3,必吃榜top10
妈妈餐厅(城东路店),郑州,34.748675,113.691225,15.0,餐饮服务;中餐厅;中餐厅,17:30,21:00,城隍庙,"113.686977,34.752061",34.752061,113.686977,4.4,必吃榜top10;线上取号排队
闽豫中餐厅(金多银多珠宝店),郑州,34.748684,113.681630,90.0,餐饮服务;中餐厅;福建菜,10:00,22:00,城隍庙,"113.686977,34.752061",34.752061,113.686977,4.0,户外座位;生日套餐服务
甄玉川宴会中心,郑州,34.747760,113.691761,100.0,餐饮服务;中餐厅;中餐厅,17:00,21:00,城隍庙,"113.686977,34.752061",34.752061,113.686977,4.7,必吃榜top10
二广餐馆,郑州,34.757454,113.691651,66.0,餐饮服务;中餐厅;清真菜馆,17:30,22:00,城隍庙,"113.686977,34.752061",34.752061,113.686977,4.4,有包间;有等位区
宋老三苏肉羊肉汤老店,郑州,34.751635,113.677244,100.0,餐饮服务;中餐厅;清真菜馆,17:00,21:30,城隍庙,"113.686977,34.752061",34.752061,113.686977,4.4,有等位区
净馨缘餐厅,郑州,34.757702,113.678788,69.0,餐饮服务;中餐厅;中餐厅,10:00,22:00,城隍庙,"113.686977,34.752061",34.752061,113.686977,4.0,必吃榜top10;有包间
方中山胡辣汤(总店),郑州,34.760065,113.682462,15.0,餐饮服务;中餐厅;清真菜馆,05:00,13:30,城隍庙,"113.686977,34.752061",34.752061,113.686977,4.5,有等位区
直三院营养餐厅,郑州,34.767625,113.751240,100.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,郑东新区CBD,"113.753400,34.769100",34.769100,113.753400,3.8,必吃榜top10
至尊强仔(正光北街店),郑州,34.771566,113.754982,80.0,餐饮服务;中餐厅;广东菜(粤菜),17:00,22:00,郑东新区CBD,"113.753400,34.769100",34.769100,113.753400,4.6,有等位区
誉龙轩茶餐厅(豫航中心店),郑州,34.771871,113.755230,100.0,餐饮服务;中餐厅;中餐厅,09:00,22:30,郑东新区CBD,"113.753400,34.769100",34.769100,113.753400,3.6,必吃榜top10
海容大酒店西餐厅,郑州,34.768486,113.749551,60.0,餐饮服务;外国餐厅;西餐厅(综合风味),06:30,22:00,郑东新区CBD,"113.753400,34.769100",34.769100,113.753400,3.8,户外座位
广义信阳毛尖茶餐厅(豫航店),郑州,34.771881,113.755782,100.0,购物服务;专卖店;专营店,11:00,21:00,郑东新区CBD,"113.753400,34.769100",34.769100,113.753400,3.7,必吃榜top10;户外座位
鑫仕麟假日酒店-原素餐厅,郑州,34.771175,113.757935,73.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,郑东新区CBD,"113.753400,34.769100",34.769100,113.753400,4.2,有包间
