poi_name,latitude,longitude,address,poi_type
平江路历史文化街区,31.313969,120.634556,,attraction
苏州博物馆,31.322948,120.627856,,attraction
虎丘山风景区,31.334584,120.580016,,attraction
观前街,31.310624,120.625637,,attraction
耦园,31.316230,120.638350,,attraction
网师园,31.298075,120.633770,,attraction
怡园,31.307521,120.621266,,attraction
珍珠塔景园,31.160042,120.718122,,attraction
玄妙观,31.311960,120.626314,,attraction
松鹤楼(观前店),31.310677,120.625678,,attraction
得月楼(观前店),31.310410,120.625388,,attraction
平江桃花源记(平江路店),31.314561,120.633675,,restaurant
墨客园·餐厅,31.315297,120.634429,,restaurant
好再来餐馆(肖家巷),31.312201,120.633994,,restaurant
自留地洋房咖啡餐厅(平江路店),31.313597,120.636821,,restaurant
茴悦Fennel&Laurel(仁恒仓街店),31.312871,120.638349,,restaurant
Grande A'moo(仁恒仓街店),31.312907,120.638670,,restaurant
馥郁食里,31.312708,120.639472,,restaurant
同仁四季椰子鸡(苏州仁恒仓街店),31.312277,120.639493,,restaurant
山野板扎·云贵川Bistro(仓街店),31.312262,120.639742,,restaurant
随柳居(建新巷店),31.309541,120.631804,,restaurant
园林里餐馆(园外苑店),31.323827,120.631367,,restaurant
11:11餐厅,31.325814,120.627879,,restaurant
苏州太太苏帮菜·苏面源面宴(拙政园店),31.321648,120.629695,,restaurant
生春阳餐馆(华阳里店),31.322492,120.632072,,restaurant
苏雅兴·文人苏式面馆(博物馆店),31.322121,120.626030,,restaurant
李百蟹(平江路店),31.321145,120.631896,,restaurant
渡口·茶餐厅(平江路店),31.320864,120.631685,,restaurant
橘酱餐厅(狮林里店),31.321947,120.625253,,restaurant
平江桃花源记(平江2店),31.320621,120.631810,,restaurant
芬兰之家西餐,31.320675,120.631957,,restaurant
在一起主题餐厅(虎丘婚纱城店),31.329425,120.570675,,restaurant
鄉思家宴,31.323504,120.582092,,restaurant
欣得酒店·苏小馆餐厅,31.322196,120.580948,,restaurant
菇苏区家铭餐厅,31.348269,120.571347,,restaurant
三餐喜中式自选餐厅,31.343026,120.596660,,restaurant
素满香·素食自助餐厅(苏州·观前街店),31.310412,120.625730,,restaurant
得月楼(观前店),31.310410,120.625388,,restaurant
珍珠饭店,31.309900,120.625823,,restaurant
先启半步颠小酒馆(观前街店),31.309922,120.625108,,restaurant
破店小酒馆(观前店),31.309360,120.626841,,restaurant
回香楼清真餐厅,31.309343,120.624264,,restaurant
东吴苏锦记(宫巷店),31.308622,120.626670,,restaurant
那些年一起吃串的地方(观前店),31.308799,120.623973,,restaurant
