origin_city,destination_city,dep_date,dep_station_code,dep_station_name,arr_station_code,arr_station_name,dep_datetime,arr_datetime,duration,train_no,train_type,seat_class,seat_status,price,segment_index,route_index
合肥,广州,2025-11-16,ENH,合肥南站,GGQ,广州东站,2025-11-16 06:55:00,2025-11-16 13:53:00,418,G3069,高铁,二等座,充足,663.5,1,26
合肥,广州,2025-11-16,HFH,合肥站,WHN,武汉站,2025-11-16 08:15:00,2025-11-16 10:33:00,138,G1741,高铁,二等座,充足,645,1,25
合肥,广州,2025-11-16,WHN,武汉站,IZQ,广州南站,2025-11-16 11:11:00,2025-11-16 14:44:00,213,G547,高铁,二等座,充足,645,2,25
合肥,广州,2025-11-16,ENH,合肥南站,WHN,武汉站,2025-11-16 09:34:00,2025-11-16 11:39:00,125,G1545,高铁,二等座,充足,588,1,3
合肥,广州,2025-11-16,WHN,武汉站,GBA,广州白云站,2025-11-16 12:02:00,2025-11-16 15:31:00,209,G795,高铁,二等座,充足,588,2,3
合肥,广州,2025-11-16,ENH,合肥南站,XWQ,广州新塘站,2025-11-16 06:55:00,2025-11-16 13:29:00,394,G3069,高铁,二等座,充足,632.5,1,9
合肥,广州,2025-11-16,HFH,合肥站,CWQ,长沙南站,2025-11-16 16:41:00,2025-11-16 20:44:00,243,G1747,高铁,二等座,充足,576,1,11
合肥,广州,2025-11-16,CWQ,长沙南站,GBA,广州白云站,2025-11-16 21:30:00,2025-11-16 23:31:00,121,G6141,高铁,二等座,充足,576,2,11
合肥,广州,2025-11-16,ENH,合肥南站,JIG,吉安西站,2025-11-16 15:59:00,2025-11-16 19:30:00,211,G3083,高铁,二等座,充足,599.5,1,23
合肥,广州,2025-11-16,JIG,吉安西站,GGQ,广州东站,2025-11-16 19:49:00,2025-11-16 23:00:00,191,G3085,高铁,二等座,充足,599.5,2,23
合肥,广州,2025-11-16,HFH,合肥站,YIQ,岳阳东站,2025-11-16 16:41:00,2025-11-16 20:00:00,199,G1747,高铁,二等座,充足,572,1,8
合肥,广州,2025-11-16,YIQ,岳阳东站,IZQ,广州南站,2025-11-16 20:23:00,2025-11-16 23:22:00,179,G6025,高铁,二等座,充足,572,2,8
合肥,广州,2025-11-16,ENH,合肥南站,WHN,武汉站,2025-11-16 10:49:00,2025-11-16 13:03:00,134,G595,高铁,二等座,充足,586,1,5
合肥,广州,2025-11-16,WHN,武汉站,GBA,广州白云站,2025-11-16 13:32:00,2025-11-16 17:16:00,224,G1113,高铁,二等座,充足,586,2,5
合肥,广州,2025-11-16,ENH,合肥南站,XWQ,广州新塘站,2025-11-16 06:55:00,2025-11-16 13:29:00,394,G3069,高铁,二等座,充足,660.5,1,33
合肥,广州,2025-11-16,XWQ,广州新塘站,GZQ,广州站,2025-11-16 14:02:00,2025-11-16 14:29:00,27,C7052,城际,二等座,充足,660.5,2,33
合肥,广州,2025-11-16,ENH,合肥南站,WHN,武汉站,2025-11-16 13:21:00,2025-11-16 15:16:00,115,G1427,高铁,二等座,充足,595,1,21
