restaurant_name,city,latitude,longitude,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,nearby_attraction_coords,query_latitude,query_longitude,rating,tags
希尔顿嘉悦里･TC CAFE御蓉高空餐厅,成都,30.656085,104.064025,250.0,餐饮服务;餐饮相关场所;餐饮相关,06:30,22:00,成都博物馆,"104.063749,30.657297",30.657297,104.063749,4.3,有等位区;生日套餐服务
SE餐厅,成都,30.658970,104.065865,30.0,餐饮服务;中餐厅;中餐厅,10:00,17:00,成都博物馆,"104.063749,30.657297",30.657297,104.063749,3.7,有包间
丁太婆正宗老号老妈蹄花店(东城根南街店),成都,30.656958,104.060634,29.0,餐饮服务;中餐厅;四川菜(川菜),11:00,21:00,成都博物馆,"104.063749,30.657297",30.657297,104.063749,4.4,线上取号排队
凯文斯西餐厅,成都,30.655996,104.066530,92.0,餐饮服务;外国餐厅;西餐厅(综合风味),17:00,21:30,成都博物馆,"104.063749,30.657297",30.657297,104.063749,4.6,必吃榜top10
易老妈蹄花总店(东城根店),成都,30.657032,104.060546,36.0,餐饮服务;中餐厅;四川菜(川菜),08:00,21:00,成都博物馆,"104.063749,30.657297",30.657297,104.063749,4.2,有等位区;生日套餐服务
八方餐厅,成都,30.659877,104.062021,45.0,餐饮服务;中餐厅;中餐厅,10:30,22:30,成都博物馆,"104.063749,30.657297",30.657297,104.063749,3.8,有包间;有等位区
绿茶餐厅(成都天府红店),成都,30.655767,104.067000,48.0,餐饮服务;中餐厅;中餐厅,10:00,22:00,成都博物馆,"104.063749,30.657297",30.657297,104.063749,4.5,有等位区
名人锦荟·中餐厅,成都,30.654259,104.065470,150.0,餐饮服务;中餐厅;中餐厅,17:00,21:00,成都博物馆,"104.063749,30.657297",30.657297,104.063749,4.8,生日套餐服务;线上取号排队
鸡毛店(人民公园店),成都,30.659150,104.060393,75.0,餐饮服务;中餐厅;综合酒楼,11:00,21:30,成都博物馆,"104.063749,30.657297",30.657297,104.063749,4.7,有包间;有等位区
钟水饺(人民公园店),成都,30.656754,104.059012,40.0,餐饮服务;中餐厅;特色/地方风味餐厅,08:00,20:00,成都博物馆,"104.063749,30.657297",30.657297,104.063749,4.4,有等位区;生日套餐服务
阿妈的厨房(和翕小筑店),成都,30.641445,104.050759,100.0,餐饮服务;中餐厅;西北菜,11:00,21:00,锦里古街,"104.052000,30.644000",30.644000,104.052000,4.0,户外座位
汀洲梦香中餐厅,成都,30.643241,104.048570,52.0,餐饮服务;中餐厅;中餐厅,17:00,20:30,锦里古街,"104.052000,30.644000",30.644000,104.052000,4.1,户外座位
第三餐厅,成都,30.641334,104.050190,60.0,餐饮服务;中餐厅;中餐厅,15:30,18:30,锦里古街,"104.052000,30.644000",30.644000,104.052000,3.9,生日套餐服务
窗目餐厅(汇锦公寓店),成都,30.641888,104.055322,100.0,餐饮服务;快餐厅;快餐厅,09:00,21:00,锦里古街,"104.052000,30.644000",30.644000,104.052000,4.2,生日套餐服务;线上取号排队
西南民族大学和合苑餐厅,成都,30.640353,104.051448,100.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,锦里古街,"104.052000,30.644000",30.644000,104.052000,4.0,线上取号排队
化蝶千寻·川筵(武侯祠店),成都,30.646589,104.055046,450.0,餐饮服务;中餐厅;四川菜(川菜),17:00,21:30,锦里古街,"104.052000,30.644000",30.644000,104.052000,4.6,生日套餐服务
