origin_city,destination_city,dep_date,dep_station_code,dep_station_name,arr_station_code,arr_station_name,dep_datetime,arr_datetime,duration,train_no,train_type,seat_class,seat_status,price,segment_index,route_index
合肥,广州,2025-11-12,ENH,合肥南站,GGQ,广州东站,2025-11-12 06:55:00,2025-11-12 13:53:00,418,G3069,高铁,二等座,充足,663.5,1,26
合肥,广州,2025-11-12,HFH,合肥站,WHN,武汉站,2025-11-12 08:15:00,2025-11-12 10:33:00,138,G1741,高铁,二等座,充足,645,1,25
合肥,广州,2025-11-12,WHN,武汉站,IZQ,广州南站,2025-11-12 11:11:00,2025-11-12 14:44:00,213,G547,高铁,二等座,充足,645,2,25
合肥,广州,2025-11-12,ENH,合肥南站,WHN,武汉站,2025-11-12 09:34:00,2025-11-12 11:39:00,125,G1545,高铁,二等座,充足,588,1,3
合肥,广州,2025-11-12,WHN,武汉站,GBA,广州白云站,2025-11-12 12:02:00,2025-11-12 15:31:00,209,G795,高铁,二等座,充足,588,2,3
合肥,广州,2025-11-12,ENH,合肥南站,XWQ,广州新塘站,2025-11-12 06:55:00,2025-11-12 13:29:00,394,G3069,高铁,二等座,充足,632.5,1,9
合肥,广州,2025-11-12,HFH,合肥站,CWQ,长沙南站,2025-11-12 16:41:00,2025-11-12 20:44:00,243,G1747,高铁,二等座,充足,576,1,11
合肥,广州,2025-11-12,CWQ,长沙南站,GBA,广州白云站,2025-11-12 21:30:00,2025-11-12 23:31:00,121,G6141,高铁,二等座,充足,576,2,11
合肥,广州,2025-11-12,ENH,合肥南站,JIG,吉安西站,2025-11-12 15:59:00,2025-11-12 19:30:00,211,G3083,高铁,二等座,充足,599.5,1,23
合肥,广州,2025-11-12,JIG,吉安西站,GGQ,广州东站,2025-11-12 19:49:00,2025-11-12 23:00:00,191,G3085,高铁,二等座,充足,599.5,2,23
合肥,广州,2025-11-12,HFH,合肥站,YIQ,岳阳东站,2025-11-12 16:41:00,2025-11-12 20:00:00,199,G1747,高铁,二等座,充足,572,1,8
合肥,广州,2025-11-12,YIQ,岳阳东站,IZQ,广州南站,2025-11-12 20:23:00,2025-11-12 23:22:00,179,G6025,高铁,二等座,充足,572,2,8
合肥,广州,2025-11-12,ENH,合肥南站,WHN,武汉站,2025-11-12 10:49:00,2025-11-12 13:03:00,134,G595,高铁,二等座,充足,586,1,5
合肥,广州,2025-11-12,WHN,武汉站,GBA,广州白云站,2025-11-12 13:32:00,2025-11-12 17:16:00,224,G1113,高铁,二等座,充足,586,2,5
合肥,广州,2025-11-12,ENH,合肥南站,XWQ,广州新塘站,2025-11-12 06:55:00,2025-11-12 13:29:00,394,G3069,高铁,二等座,充足,660.5,1,33
合肥,广州,2025-11-12,XWQ,广州新塘站,GZQ,广州站,2025-11-12 14:02:00,2025-11-12 14:29:00,27,C7052,城际,二等座,充足,660.5,2,33
合肥,广州,2025-11-12,ENH,合肥南站,WHN,武汉站,2025-11-12 13:21:00,2025-11-12 15:16:00,115,G1427,高铁,二等座,充足,595,1,21
合肥,广州,2025-11-12,WHN,武汉站,IZQ,广州南站,2025-11-12 15:53:00,2025-11-12 20:34:00,281,G825,高铁,二等座,充足,595,2,21
广州,合肥,2025-11-17,IZQ,广州南站,ENH,合肥南站,2025-11-17 06:18:00,2025-11-17 12:37:00,379,G1554,高铁,二等座,充足,641,1,43
广州,合肥,2025-11-17,IZQ,广州南站,WHN,武汉站,2025-11-17 15:42:00,2025-11-17 20:12:00,270,G1036,高铁,二等座,充足,595,1,51
广州,合肥,2025-11-17,WHN,武汉站,ENH,合肥南站,2025-11-17 20:51:00,2025-11-17 22:37:00,106,G650,高铁,二等座,充足,595,2,51
广州,合肥,2025-11-17,IZQ,广州南站,WHN,武汉站,2025-11-17 12:13:00,2025-11-17 15:31:00,198,G80,高铁,二等座,充足,689,1,62
广州,合肥,2025-11-17,WHN,武汉站,ENH,合肥南站,2025-11-17 15:48:00,2025-11-17 17:39:00,111,G1546,高铁,二等座,充足,689,2,62
广州,合肥,2025-11-17,GBA,广州白云站,CWQ,长沙南站,2025-11-17 15:04:00,2025-11-17 17:22:00,138,G518,高铁,二等座,充足,636,1,55
广州,合肥,2025-11-17,CWQ,长沙南站,ENH,合肥南站,2025-11-17 17:40:00,2025-11-17 21:04:00,204,G1428,高铁,二等座,充足,636,2,55
广州,合肥,2025-11-17,GBQ,广州北站,ENH,合肥南站,2025-11-17 16:36:00,2025-11-17 22:37:00,361,G650,高铁,二等座,充足,575,1,38
广州,合肥,2025-11-17,GBA,广州白云站,ENH,合肥南站,2025-11-17 16:18:00,2025-11-17 22:37:00,379,G650,高铁,二等座,充足,583,1,42
广州,合肥,2025-11-17,IZQ,广州南站,HVQ,衡阳东站,2025-11-17 06:28:00,2025-11-17 08:27:00,119,G6132,高铁,二等座,充足,571,1,37
广州,合肥,2025-11-17,HVQ,衡阳东站,HFH,合肥站,2025-11-17 09:09:00,2025-11-17 13:40:00,271,G1748,高铁,二等座,充足,571,2,37
广州,合肥,2025-11-17,IZQ,广州南站,HFH,合肥站,2025-11-17 07:06:00,2025-11-17 13:40:00,394,G1748,高铁,无座,充足,595,1,41
广州,合肥,2025-11-17,GGQ,广州东站,ENH,合肥南站,2025-11-17 16:15:00,2025-11-17 23:15:00,420,G3082,高铁,二等座,充足,644.5,1,65
广州,合肥,2025-11-17,IZQ,广州南站,WHN,武汉站,2025-11-17 13:48:00,2025-11-17 18:21:00,273,G1164,高铁,二等座,充足,595,1,50
广州,合肥,2025-11-17,WHN,武汉站,ENH,合肥南站,2025-11-17 18:51:00,2025-11-17 20:48:00,117,G1788,高铁,二等座,充足,595,2,50
