restaurant_name,city,latitude,longitude,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,nearby_attraction_coords,query_latitude,query_longitude,rating
九十九里棠(武商Mall店),南昌,28.674579,115.906129,93.0,餐饮服务;中餐厅;广东菜(粤菜),16:30,21:00,八一广场,"115.904477,28.673856",28.673856,115.904477,4.6
战斧牛排餐厅(武商黑金店),南昌,28.675220,115.906042,86.0,餐饮服务;中餐厅;中餐厅,10:00,22:00,八一广场,"115.904477,28.673856",28.673856,115.904477,4.6
飘香堂老酒文化餐厅,南昌,28.672264,115.906275,91.0,餐饮服务;中餐厅;中餐厅,10:00,22:00,八一广场,"115.904477,28.673856",28.673856,115.904477,4.3
王品牛排(南昌武商MALL店),南昌,28.675871,115.906115,275.0,餐饮服务;外国餐厅;西餐厅(综合风味),17:00,21:00,八一广场,"115.904477,28.673856",28.673856,115.904477,4.5
赣李记李师傅家乡菜馆,南昌,28.672485,115.907045,68.0,餐饮服务;中餐厅;中餐厅,17:00,21:00,八一广场,"115.904477,28.673856",28.673856,115.904477,4.5
绿茶餐厅(南昌武商MALL店),南昌,28.676333,115.906425,60.0,餐饮服务;中餐厅;中餐厅,10:00,22:00,八一广场,"115.904477,28.673856",28.673856,115.904477,4.5
上南隅·创意料理(八一广场店),南昌,28.671330,115.906420,98.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,八一广场,"115.904477,28.673856",28.673856,115.904477,4.8
鸿运餐馆,南昌,28.674872,115.901171,100.0,餐饮服务;中餐厅;中餐厅,17:00,23:00,八一广场,"115.904477,28.673856",28.673856,115.904477,4.5
裕鼎鲜(八一万达广场店),南昌,28.676963,115.904122,52.0,餐饮服务;中餐厅;中餐厅,10:00,22:00,八一广场,"115.904477,28.673856",28.673856,115.904477,4.2
清真伊好恰回回茶餐厅,南昌,28.676483,115.902380,21.0,餐饮服务;快餐厅;快餐厅,11:00,21:00,八一广场,"115.904477,28.673856",28.673856,115.904477,4.4
锦峰大酒店中餐厅,南昌,28.661546,115.898490,51.0,餐饮服务;中餐厅;中餐厅|餐饮服务;咖啡厅;咖啡厅,17:00,20:30,绳金塔,"115.899890,28.660962",28.660962,115.899890,4.2
陶鲜生海鲜餐厅(站前西路店),南昌,28.661934,115.897709,84.0,餐饮服务;中餐厅;海鲜酒楼,16:30,21:30,绳金塔,"115.899890,28.660962",28.660962,115.899890,3.9
三杯李白自唱串串音乐餐吧,南昌,28.658558,115.902303,59.0,体育休闲服务;娱乐场所;酒吧|餐饮服务;中餐厅;火锅店,18:00,02:00,绳金塔,"115.899890,28.660962",28.660962,115.899890,4.3
小欧水煮店(会堂路店),南昌,28.660188,115.903966,100.0,餐饮服务;中餐厅;中餐厅,11:30,23:30,绳金塔,"115.899890,28.660962",28.660962,115.899890,4.6
程姐的小餐馆,南昌,28.659128,115.904257,24.0,餐饮服务;中餐厅;中餐厅,10:00,21:00,绳金塔,"115.899890,28.660962",28.660962,115.899890,4.2
芳芳餐馆(前进路店),南昌,28.656660,115.899740,100.0,餐饮服务;中餐厅;中餐厅,09:00,22:00,绳金塔,"115.899890,28.660962",28.660962,115.899890,4.2
隆江猪脚饭·烧腊餐厅(船山路店),南昌,28.664218,115.895622,100.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,绳金塔,"115.899890,28.660962",28.660962,115.899890,3.8
桃苑餐馆,南昌,28.658065,115.893862,48.0,餐饮服务;中餐厅;中餐厅,09:00,21:00,绳金塔,"115.899890,28.660962",28.660962,115.899890,4.1
福山餐馆,南昌,28.664901,115.905641,61.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,绳金塔,"115.899890,28.660962",28.660962,115.899890,3.8
百家餐馆(华龙国际大厦店),南昌,28.664593,115.906351,100.0,餐饮服务;快餐厅;快餐厅,09:00,21:00,绳金塔,"115.899890,28.660962",28.660962,115.899890,4.1
湖畔雅院(八一公园店),南昌,28.678681,115.898637,60.0,餐饮服务;餐饮相关场所;餐饮相关,10:30,21:00,八一公园,"115.897626,28.678562",28.678562,115.897626,4.7
小东方餐馆(苏圃路),南昌,28.679128,115.898794,62.0,餐饮服务;中餐厅;特色/地方风味餐厅,09:00,21:00,八一公园,"115.897626,28.678562",28.678562,115.897626,4.2
营养餐厅,南昌,28.678368,115.893321,100.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,八一公园,"115.897626,28.678562",28.678562,115.897626,3.6
胡记小炒,南昌,28.674702,115.896701,53.0,餐饮服务;中餐厅;中餐厅,17:00,20:30,八一公园,"115.897626,28.678562",28.678562,115.897626,4.3
赣派餐厅,南昌,28.674375,115.897175,100.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,八一公园,"115.897626,28.678562",28.678562,115.897626,0.2
福气陀陀三室两厅(二店),南昌,28.674356,115.897148,56.0,餐饮服务;中餐厅;中餐厅,17:00,21:00,八一公园,"115.897626,28.678562",28.678562,115.897626,4.7
江西饭店中餐厅,南昌,28.679705,115.902385,113.0,餐饮服务;中餐厅;中餐厅,17:30,21:00,八一公园,"115.897626,28.678562",28.678562,115.897626,3.7
萍萍餐馆(民德路店),南昌,28.682147,115.900550,100.0,餐饮服务;中餐厅;中餐厅,10:00,22:00,八一公园,"115.897626,28.678562",28.678562,115.897626,4.1
小四川正宗川味小吃,南昌,28.674161,115.898900,36.0,餐饮服务;中餐厅;四川菜(川菜),07:30,23:00,八一公园,"115.897626,28.678562",28.678562,115.897626,4.6
