restaurant_name,city,latitude,longitude,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,nearby_attraction_coords,query_latitude,query_longitude,rating,tags
韩风源烧烤涮自助餐厅(亚细亚卓悦城店),郑州,34.751785,113.667704,80.0,餐饮服务;中餐厅;中餐厅,11:00,23:30,二七纪念馆,"113.666494,34.752186",34.752186,113.666494,4.7,户外座位;有等位区
粤海酒店璇宫西餐厅(二七广场),郑州,34.749629,113.667658,111.0,餐饮服务;外国餐厅;西餐厅(综合风味),10:00,23:00,二七纪念馆,"113.666494,34.752186",34.752186,113.666494,3.9,必吃榜top10
粤海酒店-粤海轩中餐厅,郑州,34.749142,113.667796,100.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,二七纪念馆,"113.666494,34.752186",34.752186,113.666494,3.9,户外座位;线上取号排队
虎丫炒鸡(河南郑州二七万象城店),郑州,34.754815,113.662798,55.0,餐饮服务;中餐厅;中餐厅,10:00,22:00,二七纪念馆,"113.666494,34.752186",34.752186,113.666494,4.6,有等位区
几许民谣烧烤馆(郑州光彩店),郑州,34.755287,113.669676,72.0,餐饮服务;中餐厅;中餐厅,18:00,02:30,二七纪念馆,"113.666494,34.752186",34.752186,113.666494,4.6,必吃榜top10
绿茶餐厅(郑州万象城店),郑州,34.754667,113.662403,100.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,二七纪念馆,"113.666494,34.752186",34.752186,113.666494,4.6,生日套餐服务;线上取号排队
郑州郑百餐厅(郑州百货大楼店),郑州,34.756286,113.668080,100.0,餐饮服务;中餐厅;中餐厅,09:30,21:00,二七纪念馆,"113.666494,34.752186",34.752186,113.666494,3.9,有等位区
五号公路餐厅石烧牛扒(大卫城店),郑州,34.756777,113.666316,128.0,餐饮服务;快餐厅;快餐厅,11:00,22:00,二七纪念馆,"113.666494,34.752186",34.752186,113.666494,4.7,有等位区;生日套餐服务
曼玉(丹尼斯·大卫城店),郑州,34.756848,113.666241,90.0,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,11:00,21:00,二七纪念馆,"113.666494,34.752186",34.752186,113.666494,4.7,有等位区;生日套餐服务
蒋阿侨挞挞面(大上海店),郑州,34.755928,113.670393,100.0,餐饮服务;中餐厅;中餐厅,10:30,21:30,二七纪念馆,"113.666494,34.752186",34.752186,113.666494,4.5,有等位区;线上取号排队
海御珍品海鲜餐厅,郑州,34.769787,113.726419,39.0,餐饮服务;中餐厅;海鲜酒楼,17:00,23:00,千玺广场（大玉米）,"113.726322,34.769955",34.769955,113.726322,3.8,户外座位;线上取号排队
郑州绿地JW万豪酒店(万豪中餐厅),郑州,34.770905,113.727350,300.0,餐饮服务;中餐厅;中餐厅,17:30,22:30,千玺广场（大玉米）,"113.726322,34.769955",34.769955,113.726322,4.5,必吃榜top10;户外座位
千玺云端餐厅(千玺广场店),郑州,34.771075,113.727225,165.0,餐饮服务;中餐厅;中餐厅,09:00,01:00,千玺广场（大玉米）,"113.726322,34.769955",34.769955,113.726322,4.5,户外座位;有包间
郑州大玉米G PLUS空中观景餐厅,郑州,34.770914,113.727493,228.0,餐饮服务;中餐厅;综合酒楼,16:00,05:00,千玺广场（大玉米）,"113.726322,34.769955",34.769955,113.726322,4.2,线上取号排队
郑州绿地JW万豪酒店·都会尚膳自助餐厅,郑州,34.771054,113.727309,280.0,餐饮服务;外国餐厅;西餐厅(综合风味),17:30,21:30,千玺广场（大玉米）,"113.726322,34.769955",34.769955,113.726322,4.3,必吃榜top10
醉巴鲜烤鱼(千玺广场店),郑州,34.770902,113.727580,62.0,餐饮服务;餐饮相关场所;餐饮相关,10:00,24:00,千玺广场（大玉米）,"113.726322,34.769955",34.769955,113.726322,4.2,线上取号排队
豫见茶餐(新澳大厦店),郑州,34.767928,113.723581,100.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,千玺广场（大玉米）,"113.726322,34.769955",34.769955,113.726322,4.1,户外座位
薪火色(现炒餐厅),郑州,34.767451,113.723530,100.0,餐饮服务;中餐厅;中餐厅,10:00,21:00,千玺广场（大玉米）,"113.726322,34.769955",34.769955,113.726322,3.9,有包间;线上取号排队
锦悦茶餐厅(河南传媒大厦店),郑州,34.767405,113.722783,76.0,餐饮服务;中餐厅;海鲜酒楼,17:00,02:00,千玺广场（大玉米）,"113.726322,34.769955",34.769955,113.726322,4.2,必吃榜top10
Two Birds One Stone·一石二鸟(木色店),郑州,34.767030,113.730428,95.0,餐饮服务;餐饮相关场所;餐饮相关,10:00,21:00,千玺广场（大玉米）,"113.726322,34.769955",34.769955,113.726322,4.6,有包间
双生四季甜品融合餐厅(姚桥社区北院店),郑州,34.813115,113.795071,27.0,餐饮服务;甜品店;甜品店,11:00,22:00,北龙湖湿地公园,"113.789100,34.812300",34.812300,113.789100,4.4,生日套餐服务
炫歌音乐餐吧,郑州,34.809266,113.793947,100.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,北龙湖湿地公园,"113.789100,34.812300",34.812300,113.789100,3.9,有包间;有等位区
石见里融合餐厅,郑州,34.818459,113.794111,100.0,餐饮服务;餐饮相关场所;餐饮相关,11:00,21:00,北龙湖湿地公园,"113.789100,34.812300",34.812300,113.789100,3.8,必吃榜top10;有等位区
