city,attraction_name,attraction_id,description,attraction_type,address,latitude,longitude,rating,opening_time,closing_time,closing_dates,min_visit_hours,max_visit_hours,ticket_price
广州,黄埔军校旧址纪念馆,B001408FD2,中国近代军事教育重要史迹，黄埔军校校本部复原陈列。,历史文化,,23.086062,113.424710,4.0,09:00,17:00,周一,1.5,3.0,0
广州,千年古道遗址,B00140T1AY,位于北京路的地下考古遗址，展示广州千年商业街区的历史变迁。,历史文化,,23.124873,113.268844,4.6,全天开放,全天开放,,0.0,1.5,0
广州,广州石室耶稣圣心大教堂,B00140UHIZ,中国现存最宏伟的双尖塔哥特式石结构天主教建筑，有东方巴黎圣母院之称。,历史文化,,23.114589,113.260262,4.8,09:00,11:00,周一,0.5,2.0,0
广州,中山纪念堂,B00140UFHC,纪念孙中山先生的大型纪念性建筑，中国近代建筑精品。,历史文化,,23.132860,113.264692,4.9,09:00,17:30,,0.5,2.0,10
广州,上下九步行街,B00140TXAL,广州最具特色的骑楼商业街，传统粤式美食聚集地。,历史文化,,23.114228,113.246895,4.6,全天开放,全天开放,,1.5,3.0,0
广州,太古汇,B00141JO30,高端购物中心，汇集国际奢侈品牌和精品餐厅，环境优雅。,休闲体验,,23.134218,113.332479,4.8,10:00,22:00,,1.5,3.0,0
广州,越秀公园,B00140BNNF,广州最大的综合性公园，岭南园林代表。,自然风光,,23.140096,113.265561,4.7,06:00,22:00,,0.5,2.0,0
广州,北京路步行街,B00141RH20,千年古道现代商业步行街，广州历史文化与现代商业融合。,历史文化,,23.120946,113.267679,4.8,全天开放,全天开放,,1.5,3.0,0
广州,东山口文艺街区,,民国别墅群聚集地，文艺咖啡馆、书店林立，小资情调浓厚。,历史文化,,23.129000,113.286000,4.5,全天开放,全天开放,,2.0,3.5,0
广州,南越王博物院(王墓展区),B0014021B3,展示2000年前南越国历史文物，岭南地区重要考古发现。,历史文化,,23.137823,113.261015,4.8,09:00,17:30,周一,1.5,3.0,12
广州,西关民俗馆,B00141RDAK,典型西关大屋建筑，展示传统西关民俗文化和生活方式。,历史文化,,23.119581,113.236027,4.5,08:30,17:30,周一,0.0,1.5,5
广州,南越王博物院（王宫展区）,B00140USZS,展示两千年前南越国宫署遗址，是广州建城历史的重要见证。,历史文化,,23.126878,113.269853,4.7,09:00,17:30,周一,1.0,2.5,12
广州,天河城,B00141UE4E,广州知名购物中心，汇集众多品牌和美食，购物体验佳。,休闲体验,,23.132333,113.322605,4.8,10:00,22:00,,1.5,3.0,0
广州,广东省博物馆,B00140U6L3,华南地区最大综合性博物馆，收藏广东历史文物和自然标本。,历史文化,,23.114743,113.326346,4.8,09:00,17:00,周一,1.5,3.0,0
广州,正佳广场,B00140TFHO,大型综合购物娱乐中心，拥有多家餐厅、电影院和娱乐设施。,休闲体验,,23.132145,113.327019,4.8,10:00,22:00,,1.5,3.0,0
