poi_name,latitude,longitude,address,poi_type
鲁迅故里,29.993263,120.584419,,attraction
沈园,29.990303,120.590035,,attraction
环城河夜游,29.995000,120.580000,,attraction
绍兴东湖风景区,29.998452,120.632047,,attraction
绍兴博物馆,29.997923,120.572327,,attraction
西园,29.997169,120.568984,,attraction
柯岩风景区,30.046148,120.474709,,attraction
八字桥,29.999705,120.591561,,attraction
蔡元培故居,30.006921,120.583356,,attraction
绍兴饭店·越芸台茶馆,30.003757,120.572875,,attraction
震元养生餐厅,29.999362,120.577485,,restaurant
小绍兴菜馆,29.999677,120.577461,,restaurant
菲滋意式餐厅(绍兴人民路店),29.996281,120.580525,,restaurant
绍兴遇见美食餐厅,29.997472,120.581278,,restaurant
寻宝记·绍兴菜非遗门店(状元店),30.000241,120.578458,,restaurant
米禾餐厅,30.000304,120.579260,,restaurant
宝兴楼,29.998368,120.581599,,restaurant
尚鼎鲜特色面,29.992501,120.577765,,restaurant
蜜坐咖啡美食私厨坊(鲁迅影城店),30.001425,120.582336,,restaurant
绍兴味道绍兴菜·非遗餐厅(鲁迅故里店),29.992004,120.584190,,restaurant
醉越宴·非遗文化餐厅,29.992161,120.583616,,restaurant
绍兴第二医院福康餐厅,29.990527,120.585247,,restaurant
樊楼越宴,29.992762,120.580983,,restaurant
优家自选餐厅(锦绣花园店),29.989041,120.586015,,restaurant
港粤茶点港式茶餐厅,29.988141,120.583983,,restaurant
私家峰味特色苍蝇小馆(马弄店),29.996615,120.589810,,restaurant
尚品越府·融合餐厅(延安路店),29.988445,120.591438,,restaurant
暮索里·Mon Soleil·风味小馆,29.987722,120.591134,,restaurant
稽山宾馆餐厅,29.986551,120.583290,,restaurant
咸亨大酒店中餐厅,29.986539,120.582072,,restaurant
五云丰田员工餐厅,30.001724,120.621483,,restaurant
木子餐厅,29.993542,120.620506,,restaurant
肯德基车速取餐厅(绍兴1051文创园DT店),29.994260,120.618606,,restaurant
阿国饭店,29.998248,120.612869,,restaurant
晓屋餐厅,30.007609,120.586402,,restaurant
兰亭记·绍兴菜(书圣故里店),30.005162,120.586245,,restaurant
城墙音浪烤场,30.010619,120.582605,,restaurant
港岛记茶餐厅,30.005562,120.582021,,restaurant
德发财潮汕砂锅粥茶餐厅(绍兴店),30.005525,120.581975,,restaurant
觅泰茶餐厅,30.005534,120.581966,,restaurant
浣溪渔河豚蟹黄主题餐厅(绍兴古城店),30.006403,120.581237,,restaurant
八佰伴餐厅(绍兴八佰伴店),30.006013,120.581119,,restaurant
Sole西餐厅,30.006808,120.580760,,restaurant
诚记小餐馆,30.003825,120.589825,,restaurant
安昌酸菜鱼,30.133493,120.499559,,restaurant
叶麦自选餐厅,30.130664,120.497240,,restaurant
叶麦自选餐厅(柯北店),30.137311,120.503223,,restaurant
叶麦自选餐厅(兴工店),30.149685,120.490891,,restaurant
口口香自选餐厅,30.147371,120.483604,,restaurant
壹京餐厅,30.000307,120.569311,,restaurant
新疆艾尼卡尔餐厅,29.993702,120.573031,,restaurant
绿茶餐厅(绍兴府山店),30.002128,120.570821,,restaurant
府山隐·四季餐厅,30.002935,120.573083,,restaurant
丁家餐馆(越秀店),29.992768,120.573677,,restaurant
菲滋意式餐厅(绍兴天地店),30.000553,120.566812,,restaurant
杭越现代餐厅,30.001418,120.566751,,restaurant
六和藏院·溪山餐厅,29.995496,120.564265,,restaurant
柠檬餐馆,30.044809,120.476777,,restaurant
开元颐居鲁家客栈(柯岩店),30.044878,120.479149,,restaurant
肯德基(柯岩风景区店),30.044534,120.479678,,restaurant
佰悦城小何餐馆,30.033744,120.464757,,restaurant
凯世精品酒店-La Allure爱露西餐厅,30.031672,120.474253,,restaurant
乐笙餐厅(鉴湖旅游度假区店),30.031325,120.473875,,restaurant
君澜绍兴鉴湖大酒店餐厅(柯岩大道店)(装修中),30.045127,120.483987,,restaurant
华慧餐馆,30.004535,120.572806,,restaurant
永利来餐室·澳门茶餐厅(越城店),30.004566,120.575610,,restaurant
素满香素食自助餐厅(府山西路店),30.008822,120.569289,,restaurant
伯安楼酒店,30.008774,120.573636,,restaurant
阳明·味晏,30.009796,120.575400,,restaurant
竹哩精致料理自助餐厅,30.015175,120.568117,,restaurant
迎恩门十里锦香风情餐厅,30.015158,120.567470,,restaurant
明明餐厅,30.000057,120.586471,,restaurant
绍兴市越城区季食轻食餐厅,30.004597,120.591022,,restaurant
粥皇港式餐厅(世茂广场店),30.002992,120.596351,,restaurant
菲滋意式餐厅(绍兴世茂店),30.003230,120.596348,,restaurant
二洒餐厅,29.995664,120.597253,,restaurant
北方妹东北饭儿(劳动路店),30.001858,120.584231,,restaurant
渝味猫公子烤鱼酒馆(绍兴世茂店),30.005660,120.596530,,restaurant
古鲁特烤肉自助餐厅(绍兴八佰伴店),30.006234,120.580324,,restaurant
丰年餐馆炭火烤鱼(百兴花园店),30.079711,120.611289,,restaurant
翠轩居餐厅,30.080318,120.606362,,restaurant
诸暨和瑞温德姆酒店自助餐厅,29.726654,120.207342,,restaurant
食尚川菜馆,30.013379,120.593058,,restaurant
衢越府,30.017763,120.595587,,restaurant
一膳餐馆(昌安家园南区店),30.019252,120.595908,,restaurant
佬湘道餐馆(塘南夹塘公寓店),30.011158,120.564197,,restaurant
嘉御阁餐厅(元城大厦店),30.002859,120.603558,,restaurant
夜里融合餐厅,29.732464,120.213066,,restaurant
海鲜宫,29.727260,120.217906,,restaurant
土哈哈音乐餐吧(泰富广场店),30.165000,120.285112,,restaurant
财康雷迪森维嘉酒店·聚丰中餐厅(萧山店),30.163626,120.284667,,restaurant
清竹音乐餐吧,30.164001,120.283843,,restaurant
友谊餐馆,30.106227,120.539384,,restaurant
一品香餐馆(聚贤街店),30.115854,120.542817,,restaurant
湖映悦宴·星空云餐厅,30.016925,120.584809,,restaurant
绍兴上虞万豪酒店·万豪中餐厅,30.030398,120.823327,,restaurant
谷悦餐厅,30.038724,120.828541,,restaurant
诸暨囍匠花园餐厅,29.706638,120.240543,,restaurant
Mr Le乐先生融合餐厅(唐韵广场店),29.706719,120.240467,,restaurant
禧粤滋茶点.港式茶餐厅(诸暨店),29.703558,120.246309,,restaurant
洁洁餐馆(艮塔东路店),29.702429,120.251555,,restaurant
柏清小餐厅,29.703475,120.251352,,restaurant
江西宁爱小餐厅(苎萝东路店),29.702234,120.248906,,restaurant
尚好鲜餐馆,30.110081,120.627050,,restaurant
漫济源中国餐厅,30.094066,120.602176,,restaurant
米范儿餐馆(鑫海大厦店),30.034502,120.581055,,restaurant
柏星仟代酒店零点餐厅,29.567129,120.827714,,restaurant
幸氏餐馆,29.569095,120.831065,,restaurant
炉边故事餐厅,29.567604,120.821350,,restaurant
ZIMOM稚梦西餐厅,30.015477,120.565882,,restaurant
惠普广场得来速餐厅,30.033035,120.838548,,restaurant
江南忆中餐厅 · 本地宴请(绍兴开元名都店),29.992524,120.608965,,restaurant
全季绍兴上虞e游小镇酒店,30.029300,120.826000,曹娥街道五星中路888号,hotel
全季诸暨西施故里酒店,29.702600,120.241000,浙江省绍兴市诸暨市苎萝东路22号,hotel
维也纳智好酒店（浙江绍兴柯桥北站店）,30.110281,120.548716,柯桥区环镇东路与羊山路交叉口北50米诚隆大厦,hotel
永利活禅酒店(鲁迅故里店),29.993871,120.603001,越城区人民东路175号,hotel
绍兴越城鲁迅故里开元名庭酒店,30.004758,120.582328,"绍兴越城区府山街道胜利东路1号, 中国",hotel
绍兴鲁迅故里雷迪森世嘉酒店(仓桥直街店),30.008626,120.569232,"绍兴越城区府山西路105号, 中国",hotel
绍兴越城希尔顿花园酒店,30.003190,120.581716,浙江省绍兴市越城区解放北路328号,hotel
安玥酒店(绍兴大滩地铁站颐高广场店),30.024749,120.581137,越城区颐高广场2幢,hotel
诸暨祥生世纪酒店,29.702256,120.253708,苎萝东路195号,hotel
云和夜泊酒店(绍兴鲁迅故里迎恩门店),30.015451,120.568541,浙江省绍兴市越城区北海街道迎恩门风情水街安玥里-6,hotel
绍兴木棉花·凯悦臻选酒店,30.000139,120.565449,浙江省绍兴市越城区北海街道马臻南路28号,hotel
绍兴安昌古镇观堂,30.136878,120.495558,绍兴市柯桥区柯北大道2188号,hotel
如家-绍兴人民中路鲁迅故里店,29.995812,120.588996,绍兴市越城区人民中路360号（人民路与中兴路交叉口，绍兴银行东侧100米）,hotel
如家-绍兴北站袍江新区奥体中心店,30.090379,120.602315,浙江省绍兴市越城区袍江汤公路64号,hotel
如家-嵊州吾悦广场官河南路店,29.567261,120.827427,官河南路399号（官河南路与领带园二路交口东南角）,hotel
如家neo-绍兴客运中心鲁迅故里店,30.015040,120.593455,浙江省绍兴市越城区中兴北路195号,hotel
锦江之星（绍兴鲁迅故里城市广场地铁站酒店）,30.004240,120.567050,浙江省绍兴市越城区胜利西路748号,hotel
锦江之星诸暨宝龙广场高铁站酒店,29.729078,120.212837,诸三路98号,hotel
汉庭绍兴鲁迅故里酒店,29.996300,120.586000,人民中路208号一楼部分，7-14楼全部,hotel
桔子绍兴文理学院鲁迅故里酒店,29.990900,120.569000,常禧路26号临近文理学院南山校区、河东河西校区,hotel
杭州站,30.243482,120.182860,小营街道环城东路1号,train_station
绍兴站,30.014249,120.579634,车站路200号,train_station
杭州南站,30.172640,120.295589,新塘街道站前路328号,train_station
杭州东站,30.290846,120.212605,天城路1号,train_station
绍兴北站,30.098661,120.539485,钱陶公路与一号路交汇处,train_station
临平南站,30.380793,120.296665,文正街与新丰路交汇处,train_station
上虞站,30.001322,120.856929,曹娥街道亚厦大道144号,train_station
古鲁特烤肉自助餐厅(绍兴金帝银泰惠坊街店),29.986572,120.576970,,restaurant
广味轩港市茶餐厅(杭州东站),30.290107,120.209962,,restaurant
爱瑞云餐厅(东溪德必易园店),30.291007,120.217230,,restaurant
沈记港式茶餐厅(天城银座3幢店),30.289940,120.207477,,restaurant
绿茶餐厅(杭州东站万象汇店),30.293504,120.217725,,restaurant
敏华冰厅(杭州东站万象汇店),30.294025,120.217615,,restaurant
锦膳坊城市自选餐厅(颐高广场店),30.024909,120.581351,,restaurant
良禾餐厅(工业梅山店),30.025186,120.576199,,restaurant
湖映花园餐厅,30.019134,120.585012,,restaurant
菲滋意式餐厅(袍江大润发店),30.079327,120.605951,,restaurant
斗门餐馆,30.099397,120.589007,,restaurant
味之王餐厅(齐贤店),30.116800,120.547421,,restaurant
一品香餐馆,30.115854,120.542817,,restaurant
