restaurant_name,city,latitude,longitude,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,nearby_attraction_coords,query_latitude,query_longitude,rating,tags
德国啤酒屋(砂之船国际生活广场店),杭州,30.243117,120.214133,131.0,餐饮服务;外国餐厅;德国菜,17:30,23:00,城市阳台,"120.216803,30.241827",30.241827,120.216803,4.1,生日套餐服务
La Lune月光女神西餐厅,杭州,30.244223,120.215211,283.0,餐饮服务;中餐厅;中餐厅,16:00,21:00,城市阳台,"120.216803,30.241827",30.241827,120.216803,4.0,有等位区
月亮之上餐厅(杭州大剧院店),杭州,30.244231,120.215216,323.0,餐饮服务;中餐厅;中餐厅,17:00,21:00,城市阳台,"120.216803,30.241827",30.241827,120.216803,4.4,必吃榜top10;户外座位
杭州洲际酒店原素全日餐厅,杭州,30.242050,120.213522,293.0,餐饮服务;外国餐厅;西餐厅(综合风味),17:30,21:30,城市阳台,"120.216803,30.241827",30.241827,120.216803,4.3,有包间
杭州洲际酒店·日月轩中餐厅,杭州,30.242390,120.213277,423.0,餐饮服务;中餐厅;广东菜(粤菜),17:30,21:00,城市阳台,"120.216803,30.241827",30.241827,120.216803,4.2,户外座位;有等位区
老娘舅(杭州市民中心店),杭州,30.241541,120.212714,27.0,餐饮服务;中餐厅;中餐厅,07:00,20:30,城市阳台,"120.216803,30.241827",30.241827,120.216803,4.2,生日套餐服务
钱江新城万豪酒店中餐厅,杭州,30.245818,120.217529,154.0,餐饮服务;中餐厅;中餐厅,17:30,21:00,城市阳台,"120.216803,30.241827",30.241827,120.216803,4.2,户外座位;生日套餐服务
杭州钱江新城万豪酒店·都会尚膳全日餐厅,杭州,30.245806,120.217618,257.0,餐饮服务;餐饮相关场所;餐饮相关,06:30,21:00,城市阳台,"120.216803,30.241827",30.241827,120.216803,4.3,户外座位
南堤·中餐厅(迪凯银座店),杭州,30.241797,120.211522,130.0,餐饮服务;中餐厅;中餐厅,17:00,20:30,城市阳台,"120.216803,30.241827",30.241827,120.216803,4.2,必吃榜top10
香港翠园茶餐厅,杭州,30.241325,120.211522,82.0,餐饮服务;快餐厅;茶餐厅,10:00,21:00,城市阳台,"120.216803,30.241827",30.241827,120.216803,4.0,户外座位
山顶乡阁庭院餐厅,杭州,30.219221,120.116411,122.0,餐饮服务;餐饮相关场所;餐饮相关,16:30,21:00,龙井村,"120.113500,30.219700",30.219700,120.113500,4.2,生日套餐服务;线上取号排队
云中居民宿(西湖店)餐厅,杭州,30.217913,120.116908,100.0,餐饮服务;休闲餐饮场所;休闲餐饮场所,11:00,21:00,龙井村,"120.113500,30.219700",30.219700,120.113500,3.6,有包间
岚轩餐厅,杭州,30.215821,120.117607,100.0,餐饮服务;中餐厅;中餐厅,10:00,21:00,龙井村,"120.113500,30.219700",30.219700,120.113500,4.4,有包间
梅岭人家餐厅,杭州,30.215918,120.117925,77.0,餐饮服务;中餐厅;中餐厅,09:00,21:00,龙井村,"120.113500,30.219700",30.219700,120.113500,4.2,户外座位;线上取号排队
龙井草堂,杭州,30.224969,120.116079,709.0,餐饮服务;中餐厅;中餐厅,16:30,21:00,龙井村,"120.113500,30.219700",30.219700,120.113500,4.5,户外座位;有包间
杭州西湖风景名胜区山景花园餐厅,杭州,30.216137,120.118931,486.0,餐饮服务;中餐厅;广东菜(粤菜),10:30,21:00,龙井村,"120.113500,30.219700",30.219700,120.113500,3.8,有包间;生日套餐服务
涤心·龙井,杭州,30.226242,120.115439,813.0,餐饮服务;中餐厅;中餐厅|生活服务;生活服务场所;生活服务场所|住宿服务;住宿服务相关;住宿服务相关,16:00,21:00,龙井村,"120.113500,30.219700",30.219700,120.113500,4.2,户外座位
龙井院子餐厅,杭州,30.214875,120.107925,100.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,龙井村,"120.113500,30.219700",30.219700,120.113500,4.1,有等位区
茶岚苑花园餐厅(九溪店),杭州,30.212569,120.117874,92.0,餐饮服务;中餐厅;中餐厅,10:00,20:00,龙井村,"120.113500,30.219700",30.219700,120.113500,4.6,线上取号排队
