restaurant_name,city,latitude,longitude,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,nearby_attraction_coords,query_latitude,query_longitude,rating
相域缘餐厅,厦门,24.428825,118.142325,100.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,环岛南路,"118.142622,24.431470",24.431470,118.142622,3.7
厦门金沙湾宾馆(环岛路黄厝沙滩店)·中餐厅,厦门,24.429444,118.144577,100.0,餐饮服务;餐饮相关场所;餐饮相关,17:00,22:00,环岛南路,"118.142622,24.431470",24.431470,118.142622,3.9
厦门靠山吃海餐厅,厦门,24.433566,118.140707,83.0,餐饮服务;中餐厅;中餐厅,16:30,22:30,环岛南路,"118.142622,24.431470",24.431470,118.142622,4.7
亚洲海湾大酒店(海逸西餐厅店),厦门,24.431861,118.145638,105.0,餐饮服务;外国餐厅;西餐厅(综合风味)|住宿服务;宾馆酒店;宾馆酒店,11:00,21:00,环岛南路,"118.142622,24.431470",24.431470,118.142622,4.5
湖畔亭海鲜·地道厦门菜(黄厝店),厦门,24.435298,118.141147,84.0,餐饮服务;中餐厅;特色/地方风味餐厅,16:30,01:00,环岛南路,"118.142622,24.431470",24.431470,118.142622,3.8
朋来阁餐厅,厦门,24.428541,118.138608,100.0,餐饮服务;中餐厅;中餐厅,09:00,20:00,环岛南路,"118.142622,24.431470",24.431470,118.142622,4.1
阿肥发自助餐厅,厦门,24.436450,118.143986,100.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,环岛南路,"118.142622,24.431470",24.431470,118.142622,3.1
厦门海悦山庄酒店自助餐厅(地中海餐厅),厦门,24.435131,118.147812,204.0,餐饮服务;咖啡厅;咖啡厅,11:00,21:00,环岛南路,"118.142622,24.431470",24.431470,118.142622,4.1
香茶宫福建菜餐厅(海悦山庄店),厦门,24.435441,118.149148,172.0,餐饮服务;中餐厅;中餐厅,17:30,21:30,环岛南路,"118.142622,24.431470",24.431470,118.142622,4.3
白石海景Live餐酒吧,厦门,24.422623,118.134152,124.0,餐饮服务;餐饮相关场所;餐饮相关,11:00,01:00,环岛南路,"118.142622,24.431470",24.431470,118.142622,4.8
数星园-粉夏pink·海景咖啡餐厅,厦门,24.441731,118.160292,76.0,餐饮服务;冷饮店;冷饮店,11:00,21:00,黄厝海滩,"118.161900,24.442614",24.442614,118.161900,4.3
荣誉梵尔纳美人鱼自助餐厅,厦门,24.445275,118.161975,212.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,黄厝海滩,"118.161900,24.442614",24.442614,118.161900,3.4
树屋餐厅,厦门,24.443514,118.158633,59.0,餐饮服务;中餐厅;中餐厅,09:00,23:30,黄厝海滩,"118.161900,24.442614",24.442614,118.161900,4.0
