restaurant_name,city,latitude,longitude,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,nearby_attraction_coords,query_latitude,query_longitude,rating
山顶乡阁庭院餐厅,杭州,30.219221,120.116411,122.0,餐饮服务;餐饮相关场所;餐饮相关,16:30,21:00,中国茶叶博物馆（龙井馆区）,"120.113539,30.219662",30.219662,120.113539,4.2
云中居民宿(西湖店)餐厅,杭州,30.217913,120.116908,100.0,餐饮服务;休闲餐饮场所;休闲餐饮场所,11:00,21:00,中国茶叶博物馆（龙井馆区）,"120.113539,30.219662",30.219662,120.113539,3.6
岚轩餐厅,杭州,30.215821,120.117607,100.0,餐饮服务;中餐厅;中餐厅,10:00,21:00,中国茶叶博物馆（龙井馆区）,"120.113539,30.219662",30.219662,120.113539,4.4
梅岭人家餐厅,杭州,30.215918,120.117925,77.0,餐饮服务;中餐厅;中餐厅,09:00,21:00,中国茶叶博物馆（龙井馆区）,"120.113539,30.219662",30.219662,120.113539,4.2
龙井草堂,杭州,30.224969,120.116079,709.0,餐饮服务;中餐厅;中餐厅,16:30,21:00,中国茶叶博物馆（龙井馆区）,"120.113539,30.219662",30.219662,120.113539,4.5
杭州西湖风景名胜区山景花园餐厅,杭州,30.216137,120.118931,486.0,餐饮服务;中餐厅;广东菜(粤菜),10:30,21:00,中国茶叶博物馆（龙井馆区）,"120.113539,30.219662",30.219662,120.113539,3.8
涤心·龙井,杭州,30.226242,120.115439,813.0,餐饮服务;中餐厅;中餐厅|生活服务;生活服务场所;生活服务场所|住宿服务;住宿服务相关;住宿服务相关,16:00,21:00,中国茶叶博物馆（龙井馆区）,"120.113539,30.219662",30.219662,120.113539,4.2
龙井院子餐厅,杭州,30.214875,120.107925,100.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,中国茶叶博物馆（龙井馆区）,"120.113539,30.219662",30.219662,120.113539,4.1
茶岚苑花园餐厅(九溪店),杭州,30.212569,120.117874,92.0,餐饮服务;中餐厅;中餐厅,10:00,20:00,中国茶叶博物馆（龙井馆区）,"120.113539,30.219662",30.219662,120.113539,4.6
米桂餐厅·时令农家私房菜(满觉陇店),杭州,30.218446,120.123766,105.0,餐饮服务;餐饮相关场所;餐饮相关,16:00,21:00,中国茶叶博物馆（龙井馆区）,"120.113539,30.219662",30.219662,120.113539,3.8
钱江餐厅,杭州,30.259527,120.148472,100.0,餐饮服务;中餐厅;综合酒楼,10:00,20:00,断桥残雪,"120.151299,30.258106",30.258106,120.151299,4.2
角落里餐厅,杭州,30.260575,120.153651,28.0,餐饮服务;餐饮相关场所;餐饮相关,11:00,21:00,断桥残雪,"120.151299,30.258106",30.258106,120.151299,4.5
杭州卡萨布兰卡音乐餐吧,杭州,30.260378,120.157253,109.0,餐饮服务;外国餐厅;西餐厅(综合风味),10:00,02:00,断桥残雪,"120.151299,30.258106",30.258106,120.151299,4.5
绿茶餐厅(六公园店),杭州,30.257779,120.157824,63.0,餐饮服务;中餐厅;中餐厅,10:30,21:00,断桥残雪,"120.151299,30.258106",30.258106,120.151299,4.7
一湖春餐厅,杭州,30.257141,120.158020,386.0,餐饮服务;中餐厅;中餐厅,10:00,21:30,断桥残雪,"120.151299,30.258106",30.258106,120.151299,4.5
乐墅餐厅,杭州,30.257025,120.144486,100.0,餐饮服务;中餐厅;中餐厅,10:30,21:30,断桥残雪,"120.151299,30.258106",30.258106,120.151299,4.0
杭州西湖殿影酒店·1937餐厅,杭州,30.263206,120.155350,447.0,餐饮服务;餐饮相关场所;餐饮相关,11:00,21:00,断桥残雪,"120.151299,30.258106",30.258106,120.151299,4.2
杭州新新饭店·1913餐厅,杭州,30.255994,120.144148,371.0,餐饮服务;餐饮相关场所;餐饮相关,09:30,21:30,断桥残雪,"120.151299,30.258106",30.258106,120.151299,4.3
沙利文西餐厅(WAKE TOWN商业街店),杭州,30.259038,120.159258,158.0,餐饮服务;外国餐厅;西餐厅(综合风味),17:30,21:00,断桥残雪,"120.151299,30.258106",30.258106,120.151299,3.9
望湖楼·中餐厅,杭州,30.259017,120.159309,144.0,餐饮服务;中餐厅;中餐厅,17:30,21:00,断桥残雪,"120.151299,30.258106",30.258106,120.151299,4.2
