city,name,address,latitude,longitude,decoration_time,hotel_star,price,score,brand,services
南京,汉庭南京夫子庙步行街酒店,秦淮区大石坝街146号,32.018343,118.788350,2020,2,252,4.8,汉庭,SPA服务;泳池;洗衣机和烘干机;电视可投屏
南京,南京中心大酒店,中山路75号（德基广场二期对面）,32.045542,118.783456,2019,5,528,4.8,,健身房;机器人送餐服务;泳池
南京,桔子南京博物院明故宫地铁站酒店,南京市秦淮区中山东路532-1号，金蝶大学科技园2号门，近明故宫地铁站、南京博物院,32.038681,118.822021,2022,3,414,4.9,桔子,SPA服务;免费停车;电视可投屏
南京,全季南京夫子庙老门东酒店,长乐路131号（武定门3号口往左步行3分钟）,32.016200,118.792000,2025,3,385,4.8,全季,健身房;免费停车;机器人送餐服务;电视可投屏
南京,南京江宁麒麟希尔顿欢朋酒店,中国江苏省南京市江宁区麒麟街道宾园街96号,32.017450,118.899612,2022,4,432,4.5,希尔顿,免费停车;洗衣机和烘干机;电视可投屏
南京,维也纳酒店(5.0南京新街口山西路青春广场地铁站店),南京市鼓楼区老菜市8号三乐公馆,32.069021,118.766681,2025,3,264,3.9,,健身房;免费停车;机器人送餐服务
南京,桔子南京溧水大学城酒店,碧桂园影湖路111号,31.644900,118.901000,2021,3,224,4.8,桔子,免费停车;洗衣机和烘干机
南京,南京金茂威斯汀大酒店,鼓楼区中央路201号,32.071651,118.782799,2011,5,858,4.8,万豪,SPA服务;机器人送餐服务;洗衣机和烘干机
南京,麗枫酒店南京夫子庙光华门地铁站店,南京市御道街113号元发商务楼,32.023285,118.816288,2025,3,265,4.2,,SPA服务;泳池
南京,南京丽湖雅致·空港酒店,江宁空港开发区飞天大道69号,31.778802,118.835747,2017,4,285,4.3,,SPA服务;健身房;免费停车;泳池
南京,南京苏宁环球套房饭店,广州路188号 ，广州路和上海路交叉口。,32.051110,118.774889,2019,5,419,4.3,,SPA服务;健身房;泳池;洗衣机和烘干机
南京,南京谷里大酒店,谷里街道牛首大道1号。,31.880630,118.709714,2013,4,192,4.7,,SPA服务;电视可投屏
南京,南京珺懋酒店傲途格精选,汤山街道林绣路7号,32.071596,119.004132,2021,5,870,4.7,,SPA服务;健身房;免费停车;泳池
南京,南京栖霞金马路地铁站亚朵酒店,江苏省南京市栖霞区石狮路8号,32.071969,118.908081,2023,4,479,4.7,亚朵,健身房;电视可投屏
南京,南京仙林大学城希尔顿欢朋酒店,中国江苏省南京市栖霞区文澜路2号东南青年汇广场B座,32.095329,118.922359,2023,3,624,4.8,希尔顿,健身房;免费停车;机器人送餐服务;洗衣机和烘干机
南京,汉庭南京夫子庙酒店,中华路1-88号,32.027564,118.786264,2024,3,330,4.8,汉庭,SPA服务;健身房;电视可投屏
南京,丽怡酒店（南京南站九龙湖地铁站店）,中国/江苏/南京/江宁区/长亭街9号俊杰科创大厦1楼,31.915549,118.823177,2024,3,294,4.9,,免费停车;机器人送餐服务;洗衣机和烘干机
南京,如家·neo-南京火车站小市地铁站店,南京市鼓楼区中央门东门街48号,32.094428,118.786716,2020,2,222,4.7,如家,健身房;免费停车;机器人送餐服务;电视可投屏
南京,南京夫子庙老门东亚朵酒店,江宁路30号,32.013084,118.794267,2025,4,438,4.8,亚朵,SPA服务;免费停车;机器人送餐服务
南京,桔子南京江宁砂之船未来网络小镇酒店,江苏省南京市江宁区苏源大道117号,31.842300,118.826000,2020,3,293,4.8,桔子,免费停车;机器人送餐服务;洗衣机和烘干机
