restaurant_name,city,latitude,longitude,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,nearby_attraction_coords,query_latitude,query_longitude,rating
忆莼餐厅(南京博物院店),南京,32.039269,118.825427,53.0,餐饮服务;餐饮相关场所;餐饮相关,11:00,21:00,南京博物院,"118.825064,32.040802",32.040802,118.825064,3.9
饕香居餐厅·南京维景国际大酒店,南京,32.039919,118.823378,124.0,餐饮服务;餐饮相关场所;餐饮相关,10:30,21:00,南京博物院,"118.825064,32.040802",32.040802,118.825064,4.1
熊猫餐馆,南京,32.043422,118.824293,29.0,餐饮服务;中餐厅;中餐厅,17:00,20:30,南京博物院,"118.825064,32.040802",32.040802,118.825064,4.3
真睦空间茶餐厅,南京,32.038720,118.822091,71.0,餐饮服务;快餐厅;快餐厅,09:00,01:00,南京博物院,"118.825064,32.040802",32.040802,118.825064,4.2
太哼冰室茶餐厅(清溪路店),南京,32.044629,118.822917,100.0,餐饮服务;快餐厅;茶餐厅,11:00,21:00,南京博物院,"118.825064,32.040802",32.040802,118.825064,4.3
三点红红色餐厅(明故宫路21号小区店),南京,32.043222,118.816105,100.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,南京博物院,"118.825064,32.040802",32.040802,118.825064,3.9
醺·花园餐厅(紫金坊广场店),南京,32.040970,118.834915,189.0,餐饮服务;外国餐厅;西餐厅(综合风味)|体育休闲服务;娱乐场所;酒吧,10:00,21:00,南京博物院,"118.825064,32.040802",32.040802,118.825064,4.6
同心园宾馆中餐厅,南京,32.032954,118.830965,95.0,餐饮服务;中餐厅;中餐厅,11:00,21:00,南京博物院,"118.825064,32.040802",32.040802,118.825064,4.2
御苑宾馆-中餐厅,南京,32.034991,118.816403,344.0,餐饮服务;中餐厅;中餐厅,17:00,20:30,南京博物院,"118.825064,32.040802",32.040802,118.825064,4.3
艺风嘉宴主题餐厅,南京,32.046252,118.814997,100.0,餐饮服务;中餐厅;中餐厅,10:00,22:00,南京博物院,"118.825064,32.040802",32.040802,118.825064,4.6
很高兴遇见你(德基广场店),南京,32.044322,118.784931,99.0,餐饮服务;休闲餐饮场所;休闲餐饮场所|餐饮服务;中餐厅;中餐厅,10:00,22:00,南京德基广场,"118.784902,32.044077",32.044077,118.784902,3.9
