city,name,address,latitude,longitude,decoration_time,hotel_star,price,score,brand
南昌,南昌西站亚朵篮球酒店,中国江西省南昌市红谷滩新区樟树街659号,28.632704,115.792323,2022,4,324,4.3,亚朵
南昌,锦江之星（南昌船山路滕王阁万寿宫地铁站店）,江西省南昌市西湖区船山路456号,28.669490,115.889199,2017,2,126,3.5,锦江之星
南昌,潮漫酒店南昌昌北机场店,江西省南昌市经开区乐华镇江桥村甲午自然村昌北机场附近,28.845546,115.895199,2021,3,168,4.5,
南昌,如家商旅(金标)-南昌滕王阁八一起义纪念馆店,南昌市东湖区象山北路237号,28.683650,115.890588,2020,3,185,4.6,如家
南昌,如家·neo-南昌迎宾大道江铃店,青云谱区迎宾北大道368号,28.627121,115.907234,2018,2,129,3.8,如家
南昌,进贤华哲大酒店,江西省南昌市进贤县滨湖路199号,28.378747,116.261460,2015,4,264,4.5,
南昌,桔子南昌红谷滩铜锣湾广场酒店,江西省南昌市红谷滩新区庐山南大道348号,28.699400,115.867000,2018,3,293,4.8,桔子
南昌,缤跃酒店南昌红谷滩万达雷公坳产业园旗舰店,枫生快速路雷公坳文体产业园24#楼,28.707388,115.846175,2023,4,238,4.8,
南昌,南昌梅岭新旅铂尔曼酒店,中国江西省南昌市新建区双马石路399号,28.702106,115.735015,2022,5,405,4.7,
南昌,麗枫酒店（南昌珠江路地铁站省博物馆店）,红谷滩区丰和北大道369号人力资源和社会保障公共服务中心裙楼,28.706872,115.876698,2020,3,285,4.7,
南昌,南昌滕王阁希尔顿欢朋酒店,沿江北大道1555号,28.702631,115.902927,2018,4,357,4.4,希尔顿
南昌,全季南昌高新京东大道地铁站酒店,江西省南昌高新技术产业开发区金圣路2号，一层局部，2-9层全部,28.685998,115.972828,2025,3,344,4.8,全季
南昌,锦江之星南昌八一广场永叔路地铁站酒店,永叔路4号 ，浦发银行对面,28.667162,115.903680,2018,2,134,4.4,锦江之星
南昌,如家-南昌红谷滩凤凰中大道万达广场店,红谷滩新区凤凰中大道850号,28.685926,115.844574,2023,2,204,4.6,如家
南昌,南昌融创铂尔曼酒店,红谷滩新区南龙蟠街577号,28.580284,115.795978,2016,5,426,4.0,
南昌,南昌喜来登酒店,南昌市红谷滩新区红谷中大道 1669 号,28.691211,115.867815,2015,5,701,4.7,万豪
南昌,南昌融创施柏阁酒店,红谷滩区南龙蟠街555号,28.580124,115.797484,2016,5,367,4.8,
南昌,汉庭南昌八一馆万寿宫酒店,东湖区民德路272号,28.677500,115.892000,2022,2,293,4.9,汉庭
