origin_city,destination_city,dep_date,dep_station_code,dep_station_name,arr_station_code,arr_station_name,dep_datetime,arr_datetime,duration,flight_no,airline,seat_class,seat_status,equip_type,equip_size,manufacturer,price,segment_index,route_index
成都,南昌,2025-11-12,TFU,天府机场,KHN,昌北国际机场,2025-11-12 19:10:00,2025-11-12 21:05:00,115,3U6961,川航,经济舱,充足,319,中型机,空客,895,1,13
成都,南昌,2025-11-12,TFU,天府机场,KHN,昌北国际机场,2025-11-12 20:20:00,2025-11-12 22:20:00,120,RY6680,江西航,经济舱,充足,737,中型机,波音,750,1,9
成都,南昌,2025-11-12,TFU,天府机场,KHN,昌北国际机场,2025-11-12 12:20:00,2025-11-12 14:25:00,125,RY6666,江西航,经济舱,充足,737,中型机,波音,1120,1,16
成都,南昌,2025-11-12,CTU,双流国际机场,KHN,昌北国际机场,2025-11-12 14:50:00,2025-11-12 16:55:00,125,CA4531,国航,经济舱,充足,320,中型机,空客,1230,1,17
成都,南昌,2025-11-12,TFU,天府机场,KHN,昌北国际机场,2025-11-12 12:20:00,2025-11-12 14:25:00,125,NS5066,河北航,经济舱,充足,737,中型机,波音,1120,1,15
成都,南昌,2025-11-12,TFU,天府机场,KHN,昌北国际机场,2025-11-12 16:20:00,2025-11-12 18:30:00,130,MU6370,东航,经济舱,充足,320,中型机,空客,863,1,11
成都,南昌,2025-11-12,CTU,双流国际机场,TYN,武宿国际机场,2025-11-12 10:50:00,2025-11-12 12:40:00,110,TV9933,西藏航,经济舱,充足,320,中型机,空客,1084,1,24
成都,南昌,2025-11-12,TYN,武宿国际机场,KHN,昌北国际机场,2025-11-12 17:55:00,2025-11-12 20:15:00,140,9C7617,春秋,经济舱,充足,320,中型机,空客,1084,2,24
成都,南昌,2025-11-12,CTU,双流国际机场,PVG,浦东国际机场,2025-11-12 14:35:00,2025-11-12 17:40:00,185,MU5414,东航,经济舱,充足,777,大型机,波音,1194,1,26
成都,南昌,2025-11-12,PVG,浦东国际机场,KHN,昌北国际机场,2025-11-12 21:00:00,2025-11-12 23:00:00,120,MU9027,东航,经济舱,充足,320,中型机,空客,1194,2,26
成都,南昌,2025-11-12,CTU,双流国际机场,KHN,昌北国际机场,2025-11-12 14:50:00,2025-11-12 16:55:00,125,ZH4561,深航,经济舱,充足,320,中型机,空客,1280,1,18
成都,南昌,2025-11-12,TFU,天府机场,TYN,武宿国际机场,2025-11-12 11:45:00,2025-11-12 13:40:00,115,MU5234,东航,经济舱,充足,737-800,中型机,波音,766,1,23
成都,南昌,2025-11-12,TYN,武宿国际机场,KHN,昌北国际机场,2025-11-12 20:15:00,2025-11-12 22:05:00,110,MU9034,东航,经济舱,充足,C909,中型机,波音,766,2,23
南昌,成都,2025-11-17,KHN,昌北国际机场,TFU,天府机场,2025-11-17 11:15:00,2025-11-17 13:35:00,140,MU6241,东航,经济舱,充足,320,中型机,空客,820,1,31
南昌,成都,2025-11-17,KHN,昌北国际机场,TFU,天府机场,2025-11-17 16:10:00,2025-11-17 18:40:00,150,MU6502,东航,经济舱,充足,320,中型机,空客,910,1,36
南昌,成都,2025-11-17,KHN,昌北国际机场,CAN,白云国际机场,2025-11-17 10:05:00,2025-11-17 12:00:00,115,CZ3376,南航,经济舱,充足,C909,中型机,波音,1910,1,46
南昌,成都,2025-11-17,CAN,白云国际机场,CTU,双流国际机场,2025-11-17 13:30:00,2025-11-17 16:20:00,170,CZ3471,南航,经济舱,充足,737,中型机,波音,1910,2,46
南昌,成都,2025-11-17,KHN,昌北国际机场,TFU,天府机场,2025-11-17 21:25:00,2025-11-17 23:55:00,150,CA3544,国航,经济舱,充足,320,中型机,空客,900,1,34
南昌,成都,2025-11-17,KHN,昌北国际机场,TFU,天府机场,2025-11-17 21:25:00,2025-11-17 23:55:00,150,G56104,华夏,经济舱,充足,320,中型机,空客,900,1,35
南昌,成都,2025-11-17,KHN,昌北国际机场,TFU,天府机场,2025-11-17 11:15:00,2025-11-17 13:35:00,140,3U5415,川航,经济舱,充足,320,中型机,空客,870,1,32
南昌,成都,2025-11-17,KHN,昌北国际机场,KMG,长水机场,2025-11-17 09:55:00,2025-11-17 12:35:00,160,A67144,湖南航,经济舱,充足,320,中型机,空客,1530,1,44
南昌,成都,2025-11-17,KMG,长水机场,CTU,双流国际机场,2025-11-17 14:25:00,2025-11-17 16:00:00,95,MU5851,东航,经济舱,充足,737-800,中型机,波音,1530,2,44
南昌,成都,2025-11-17,KHN,昌北国际机场,TFU,天府机场,2025-11-17 16:45:00,2025-11-17 19:15:00,150,RY6679,江西航,经济舱,充足,737,中型机,波音,850,1,33
南昌,成都,2025-11-17,KHN,昌北国际机场,TFU,天府机场,2025-11-17 12:05:00,2025-11-17 14:55:00,170,CA2616,国航,经济舱,充足,C909,小型机,商飞,750,1,30
南昌,成都,2025-11-17,KHN,昌北国际机场,CTU,双流国际机场,2025-11-17 17:50:00,2025-11-17 20:15:00,145,CA4532,国航,经济舱,充足,319,中型机,空客,1150,1,37
