poi_name,latitude,longitude,address,poi_type
恩施土司城,30.301061,109.472098,,attraction
腾龙洞,30.333284,108.991410,,attraction
土家女儿城,30.269545,109.502984,,attraction
云龙地缝,30.416873,109.190728,,attraction
恩施市博物馆,30.262440,109.477729,,attraction
恩施市区休闲街道,30.283000,109.479000,,attraction
《腾龙飞舞》实景剧,30.333284,108.991410,,attraction
连珠塔,30.253647,109.482239,,attraction
土司路商业街,30.301061,109.472098,,attraction
大水井古建筑群,30.575064,109.037503,,attraction
和谐餐馆,30.302475,109.474325,,restaurant
土家田氏餐馆,30.301495,109.475002,,restaurant
洪润茶餐厅(土家家常菜),30.300249,109.475847,,restaurant
臻好餐馆(广银翡翠城二期西园小区店),30.301746,109.467255,,restaurant
黄鹤楼土家腊肉餐馆,30.296477,109.476872,,restaurant
老婆婆餐馆,30.296007,109.476872,,restaurant
元元餐馆,30.295951,109.476794,,restaurant
土王府中国土司文化主题餐厅,30.298196,109.479754,,restaurant
717腊肉餐馆,30.302513,109.480335,,restaurant
丁厨·五味餐厅,30.295675,109.477742,,restaurant
土家摆手堂民俗文化餐厅,30.405769,109.196865,,restaurant
云端观景餐厅(恩施大峡谷店),30.407840,109.197336,,restaurant
女儿村生态餐厅(大峡谷店),30.408202,109.197969,,restaurant
峡谷风味餐厅,30.409074,109.195105,,restaurant
万悦居餐厅,30.409730,109.199168,,restaurant
女儿寨自助中餐厅(装修中),30.407398,109.193828,,restaurant
茶店牛肉(女儿城店),30.271161,109.503462,,restaurant
曾家餐馆,30.273675,109.507075,,restaurant
胡妹餐馆,30.274041,109.506901,,restaurant
土家胡同里餐馆,30.263287,109.498478,,restaurant
恩施市泊然餐馆,30.268702,109.493596,,restaurant
墨宴餐厅(五峰山路店),30.266336,109.492670,,restaurant
五味鱼餐厅(祥福雅居店),30.279996,109.504644,,restaurant
坡坡餐馆,30.280610,109.500242,,restaurant
恩施市猛哥餐馆,30.274654,109.490203,,restaurant
百姓餐馆(舞阳大道四巷店),30.274801,109.489956,,restaurant
周姐餐馆,30.261690,109.478517,,restaurant
李家老字号餐馆,30.260273,109.478547,,restaurant
夕阳红餐馆,30.261034,109.475247,,restaurant
马姐餐馆,30.264126,109.479966,,restaurant
醉仙洞特色餐馆,30.261724,109.474366,,restaurant
小田餐馆,30.260755,109.474824,,restaurant
醉仙洞老婆婆餐馆,30.260411,109.474716,,restaurant
东门餐馆(中山路店),30.264372,109.481841,,restaurant
营养餐厅(叶挺路店),30.265053,109.473949,,restaurant
刘姐餐馆,30.265451,109.473648,,restaurant
