city,name,address,latitude,longitude,decoration_time,hotel_star,price,score,brand,services
郑州,新密黄帝宫御温泉度假酒店,新密市刘寨镇银基国际旅游度假区（郑尧高速-轩辕丘出口5公里处）,34.481991,113.550337,2019,4,616,4.7,,健身房;机器人送餐服务
郑州,云缦酒店(郑州港区比亚迪工厂店),郑州航空港区岗李乡邻港大道与徳育街交叉口3-5层,34.368782,113.919851,2023,3,105,4.9,,健身房;免费停车;洗衣机和烘干机
郑州,凯里酒店(方特店),郑东新区凤栖街与俊贤路交汇处西200米路北,34.776107,113.898716,2021,3,191,4.9,,健身房;免费停车;泳池;电视可投屏
郑州,郑州上街雅乐轩酒店,中心路101号。,34.801647,113.310118,2011,4,178,4.7,万豪,免费停车;机器人送餐服务;洗衣机和烘干机
郑州,如家-郑州未来路中原国际博览中心店,河南省郑州市管城回族区城东路街道商城东路胖胖公寓,34.751806,113.707762,2024,3,206,4.8,如家,健身房;免费停车;机器人送餐服务;电视可投屏
郑州,桔子郑州省政府万象城酒店,郑东新区正光北街与德厚街交叉口西南角煤建大厦B座东单元1层局部，3-14层,34.771074,113.755528,2024,3,330,4.9,桔子,健身房;免费停车;洗衣机和烘干机;电视可投屏
郑州,如家商旅-郑州象湖大学城方特绿博园店,郑州市郑开大道与锦绣路交叉口西南角伟业国际B座,34.772125,113.863671,2020,3,185,4.8,如家,机器人送餐服务;泳池;洗衣机和烘干机;电视可投屏
郑州,全季郑州会展中心未来路酒店,河南省郑州市金水区未来路60号,34.772300,113.707000,2020,3,328,4.6,全季,免费停车;泳池
郑州,杜康大酒店(中原万达五一公园地铁站店),桐柏路178号。,34.758384,113.612902,2019,4,306,4.8,,SPA服务;健身房;免费停车;泳池
郑州,锦江之星（郑州二七万达京广南路地铁站店）,航海中路46号（航海路客运总站对面） ，近京广中路,34.720634,113.653960,2019,2,126,4.7,锦江之星,健身房;机器人送餐服务;泳池;洗衣机和烘干机
郑州,全季郑州金水路酒店,河南省郑州市金水区金水路7号,34.763800,113.693000,2018,3,297,4.9,全季,免费停车;洗衣机和烘干机
郑州,辰玺酒店(郑州会展中心店),河南省郑州市金水东路16号，金水东路与黄河南路交叉口东北角,34.764990,113.745222,2019,5,401,4.7,,泳池;洗衣机和烘干机
郑州,郑州省博物院花园路亚朵酒店,郑州金水区经五路21-5号与农业路交叉口南100米路西,34.784188,113.677554,2020,4,367,4.8,亚朵,免费停车;泳池
郑州,全季酒店(郑州中牟绿博大道方特旅游度假区店),"中牟绿博大道与恒通路交叉口西100米盛和家园3号院, 中国",34.760072,113.890748,2024,3,267,4.8,全季,免费停车;泳池
郑州,艺龙瑞云酒店(郑州南三环投控智慧物流产业园区店),郑州经济技术开发区京航办事处金秋路115号9号楼403室,34.702123,113.851048,2025,3,185,4.5,,SPA服务;免费停车;电视可投屏
郑州,郑州高新假日酒店,高新区河阳路186号 （紧邻网络安全科技馆）,34.819372,113.484180,2021,5,533,4.8,,SPA服务;健身房
郑州,全季郑州龙子湖高校区酒店,龙子湖博学路与修业街交叉口全季酒店1楼,34.790156,113.800906,2024,3,475,4.8,全季,健身房;机器人送餐服务;洗衣机和烘干机
郑州,郑州汉风商务酒店,金水区花园路145号1楼（北三环地铁站A口南行）,34.802514,113.682103,2020,3,205,5.0,,免费停车;泳池;电视可投屏
郑州,汉庭郑州东站八大街酒店,郑州市经开区第八大街与经南四路交叉口东200米路北,34.712978,113.767825,2024,3,265,4.9,汉庭,健身房;泳池;洗衣机和烘干机;电视可投屏
郑州,郑州中牟智璞酒店（（只有河南电影小镇店））,绿博文化产业园区交通路东富贵路南融信城市之窗6号楼,34.786329,113.955310,2022,4,199,4.9,,免费停车;机器人送餐服务;泳池;洗衣机和烘干机
