restaurant_name,city,latitude,longitude,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,nearby_attraction_coords,query_latitude,query_longitude,rating
素满香·素食自助餐厅(苏州·观前街店),苏州,31.310412,120.625730,100.0,餐饮服务;中餐厅;中餐厅,17:00,19:30,松鹤楼(观前店),"120.625678,31.310677",31.310677,120.625678,4.6
得月楼(观前店),苏州,31.310410,120.625388,120.0,餐饮服务;中餐厅;中餐厅,16:30,21:00,松鹤楼(观前店),"120.625678,31.310677",31.310677,120.625678,4.3
珍珠饭店,苏州,31.309900,120.625823,100.0,餐饮服务;中餐厅;中餐厅,16:30,21:00,松鹤楼(观前店),"120.625678,31.310677",31.310677,120.625678,4.5
先启半步颠小酒馆(观前街店),苏州,31.309922,120.625108,76.0,餐饮服务;中餐厅;四川菜(川菜),16:30,22:00,松鹤楼(观前店),"120.625678,31.310677",31.310677,120.625678,4.4
破店小酒馆(观前店),苏州,31.309360,120.626841,100.0,餐饮服务;中餐厅;四川菜(川菜),10:00,22:00,松鹤楼(观前店),"120.625678,31.310677",31.310677,120.625678,4.3
回香楼清真餐厅,苏州,31.309343,120.624264,74.0,餐饮服务;中餐厅;清真菜馆,10:00,22:00,松鹤楼(观前店),"120.625678,31.310677",31.310677,120.625678,4.1
东吴苏锦记(宫巷店),苏州,31.308622,120.626670,15.0,餐饮服务;中餐厅;中餐厅,10:00,21:00,松鹤楼(观前店),"120.625678,31.310677",31.310677,120.625678,4.6
天山印象餐厅,苏州,31.312575,120.627284,44.0,餐饮服务;中餐厅;中餐厅,10:00,22:00,松鹤楼(观前店),"120.625678,31.310677",31.310677,120.625678,4.1
李百蟹·蟹粉(观前街店),苏州,31.310294,120.628397,84.0,餐饮服务;中餐厅;中餐厅,10:30,21:30,松鹤楼(观前店),"120.625678,31.310677",31.310677,120.625678,4.6
那些年一起吃串的地方(观前店),苏州,31.308799,120.623973,68.0,餐饮服务;中餐厅;中餐厅,16:30,03:00,松鹤楼(观前店),"120.625678,31.310677",31.310677,120.625678,4.5
萨莉亚意式餐厅(苏州观前街店),苏州,31.310619,120.622635,100.0,餐饮服务;外国餐厅;意式菜品餐厅,10:00,21:30,怡园,"120.621266,31.307521",31.307521,120.621266,4.6
橘鸟轻食餐厅,苏州,31.304606,120.624018,100.0,餐饮服务;外国餐厅;外国餐厅,11:00,21:00,怡园,"120.621266,31.307521",31.307521,120.621266,3.5
温德姆花园酒店-鼎丰阁中餐厅,苏州,31.307645,120.625715,100.0,餐饮服务;中餐厅;中餐厅,10:00,22:00,怡园,"120.621266,31.307521",31.307521,120.621266,3.8
老阊门菜馆(养育巷店),苏州,31.306681,120.616020,100.0,餐饮服务;中餐厅;中餐厅,17:00,20:30,怡园,"120.621266,31.307521",31.307521,120.621266,4.5
平江桃花源记(平江路店),苏州,31.314561,120.633675,19.0,餐饮服务;中餐厅;中餐厅,08:00,22:00,平江路历史文化街区,"120.634556,31.313969",31.313969,120.634556,4.4
墨客园·餐厅,苏州,31.315297,120.634429,434.0,餐饮服务;茶艺馆;茶艺馆,17:00,20:30,平江路历史文化街区,"120.634556,31.313969",31.313969,120.634556,4.1
好再来餐馆(肖家巷),苏州,31.312201,120.633994,100.0,餐饮服务;中餐厅;中餐厅,11:00,22:30,平江路历史文化街区,"120.634556,31.313969",31.313969,120.634556,4.1
自留地洋房咖啡餐厅(平江路店),苏州,31.313597,120.636821,59.0,餐饮服务;咖啡厅;咖啡厅,10:30,20:30,平江路历史文化街区,"120.634556,31.313969",31.313969,120.634556,4.3
茴悦Fennel&Laurel(仁恒仓街店),苏州,31.312871,120.638349,113.0,餐饮服务;餐饮相关场所;餐饮相关,10:30,21:00,平江路历史文化街区,"120.634556,31.313969",31.313969,120.634556,4.8
Grande A'moo(仁恒仓街店),苏州,31.312907,120.638670,105.0,餐饮服务;外国餐厅;意式菜品餐厅,10:00,22:00,平江路历史文化街区,"120.634556,31.313969",31.313969,120.634556,4.6
馥郁食里,苏州,31.312708,120.639472,100.0,餐饮服务;中餐厅;中餐厅,17:00,21:00,平江路历史文化街区,"120.634556,31.313969",31.313969,120.634556,4.6
同仁四季椰子鸡(苏州仁恒仓街店),苏州,31.312277,120.639493,100.0,餐饮服务;餐饮相关场所;餐饮相关,11:00,22:00,平江路历史文化街区,"120.634556,31.313969",31.313969,120.634556,4.4
