origin_city,destination_city,dep_date,dep_station_code,dep_station_name,arr_station_code,arr_station_name,dep_datetime,arr_datetime,duration,flight_no,airline,seat_class,seat_status,equip_type,equip_size,manufacturer,price,segment_index,route_index
武汉,杭州,2025-11-12,WUH,天河国际机场,TYN,武宿国际机场,2025-11-12 07:30:00,2025-11-12 08:55:00,85,MU6352,东航,经济舱,充足,737-800,中型机,波音,517,1,159
武汉,杭州,2025-11-12,TYN,武宿国际机场,HGH,萧山国际机场,2025-11-12 10:35:00,2025-11-12 12:40:00,125,MU6626,东航,经济舱,充足,320,中型机,空客,517,2,159
武汉,杭州,2025-11-12,WUH,天河国际机场,HGH,萧山国际机场,2025-11-12 08:10:00,2025-11-12 09:40:00,90,MU2531,东航,经济舱,充足,737-800,中型机,波音,370,1,150
武汉,杭州,2025-11-12,WUH,天河国际机场,HGH,萧山国际机场,2025-11-12 14:15:00,2025-11-12 15:30:00,75,3U1589,川航,经济舱,充足,737,中型机,波音,610,1,158
武汉,杭州,2025-11-12,WUH,天河国际机场,HGH,萧山国际机场,2025-11-12 14:15:00,2025-11-12 15:30:00,75,MF4947,厦航,经济舱,充足,737,中型机,波音,584,1,153
武汉,杭州,2025-11-12,WUH,天河国际机场,HGH,萧山国际机场,2025-11-12 10:35:00,2025-11-12 11:50:00,75,GJ3322,长龙,经济舱,充足,320NEO,中型机,空客,610,1,155
武汉,杭州,2025-11-12,WUH,天河国际机场,HGH,萧山国际机场,2025-11-12 14:15:00,2025-11-12 15:30:00,75,CZ6197,南航,经济舱,充足,737,中型机,波音,609,1,156
武汉,杭州,2025-11-12,WUH,天河国际机场,HGH,萧山国际机场,2025-11-12 08:10:00,2025-11-12 09:40:00,90,MF3292,厦航,经济舱,充足,737-800,中型机,波音,390,1,151
武汉,杭州,2025-11-12,WUH,天河国际机场,ENH,许家坪机场,2025-11-12 16:00:00,2025-11-12 17:20:00,80,MU2554,东航,经济舱,充足,737-800,中型机,波音,546,1,160
武汉,杭州,2025-11-12,ENH,许家坪机场,HGH,萧山国际机场,2025-11-12 19:25:00,2025-11-12 21:25:00,120,GJ8658,长龙,经济舱,充足,320,中型机,空客,546,2,160
武汉,杭州,2025-11-12,WUH,天河国际机场,HGH,萧山国际机场,2025-11-12 18:10:00,2025-11-12 19:40:00,90,CZ3783,南航,经济舱,充足,737,中型机,波音,604,1,157
武汉,杭州,2025-11-12,WUH,天河国际机场,HGH,萧山国际机场,2025-11-12 06:55:00,2025-11-12 08:25:00,90,MF4546,厦航,经济舱,充足,737,中型机,波音,574,1,152
杭州,武汉,2025-11-18,HGH,萧山国际机场,WUH,天河国际机场,2025-11-18 20:45:00,2025-11-18 22:40:00,115,MF4547,厦航,经济舱,充足,737,中型机,波音,435,1,165
杭州,武汉,2025-11-18,HGH,萧山国际机场,WUH,天河国际机场,2025-11-18 16:40:00,2025-11-18 18:25:00,105,CZ6198,南航,经济舱,充足,737,中型机,波音,433,1,164
杭州,武汉,2025-11-18,HGH,萧山国际机场,XMN,高崎国际机场,2025-11-18 15:50:00,2025-11-18 17:25:00,95,SC2112,山航,经济舱,充足,737,中型机,波音,1017,1,174
杭州,武汉,2025-11-18,XMN,高崎国际机场,WUH,天河国际机场,2025-11-18 19:25:00,2025-11-18 21:15:00,110,MF8367,厦航,经济舱,充足,737,中型机,波音,1017,2,174
杭州,武汉,2025-11-18,HGH,萧山国际机场,WUH,天河国际机场,2025-11-18 08:20:00,2025-11-18 09:50:00,90,MF7591,厦航,经济舱,充足,320,中型机,空客,550,1,169
杭州,武汉,2025-11-18,HGH,萧山国际机场,WUH,天河国际机场,2025-11-18 16:40:00,2025-11-18 18:25:00,105,MF4948,厦航,经济舱,充足,737,中型机,波音,435,1,166
杭州,武汉,2025-11-18,HGH,萧山国际机场,WUH,天河国际机场,2025-11-18 08:20:00,2025-11-18 09:50:00,90,GJ3321,长龙,经济舱,充足,320,中型机,空客,610,1,170
杭州,武汉,2025-11-18,HGH,萧山国际机场,WUH,天河国际机场,2025-11-18 20:45:00,2025-11-18 22:40:00,115,GJ3420,长龙,经济舱,充足,737,中型机,波音,446,1,167
杭州,武汉,2025-11-18,HGH,萧山国际机场,WUH,天河国际机场,2025-11-18 12:15:00,2025-11-18 14:05:00,110,CZ8258,南航,经济舱,充足,C909,中型机,波音,670,1,171
杭州,武汉,2025-11-18,HGH,萧山国际机场,WUH,天河国际机场,2025-11-18 20:45:00,2025-11-18 22:40:00,115,CZ3784,南航,经济舱,充足,737,中型机,波音,420,1,163
杭州,武汉,2025-11-18,HGH,萧山国际机场,WUH,天河国际机场,2025-11-18 08:20:00,2025-11-18 09:50:00,90,MU6567,东航,经济舱,充足,320,中型机,空客,549,1,168
